# x, y, dx, dy, 1st best, 2nd best
380,24,0,-2,21,69
552,22,0,0,15,73
766,22,0,0,5,80
612,24,0,0,9,74
896,22,0,2,15,53
160,26,0,0,8,78
254,26,0,0,6,77
878,26,0,0,5,57
362,30,0,-2,6,63
608,28,0,0,13,84
840,28,-2,0,13,40
308,30,0,0,4,72
558,30,0,0,9,74
814,30,0,0,2,31
844,30,0,0,1,34
216,32,0,0,10,26
220,32,2,0,11,23
348,32,0,0,5,65
898,32,0,0,4,39
902,32,0,0,1,41
318,34,0,0,3,82
574,34,0,0,11,70
694,34,0,0,3,86
280,36,0,0,7,54
900,36,0,0,2,39
312,38,0,0,8,70
390,38,0,0,4,61
444,38,0,0,16,80
188,40,0,0,5,75
282,40,0,0,10,63
382,40,0,0,7,72
594,40,0,0,11,110
776,42,0,0,7,88
824,42,0,0,3,34
904,42,0,0,0,39
230,44,0,0,14,86
838,44,0,0,3,50
952,44,0,0,4,56
512,46,0,0,2,101
480,48,0,0,6,94
808,48,0,0,1,34
948,48,0,0,3,63
754,50,0,0,14,76
460,52,0,0,8,84
644,54,0,-2,20,80
774,52,0,0,9,70
420,54,0,0,6,49
536,60,0,0,7,68
644,60,0,0,6,108
350,62,0,0,10,33
360,64,0,0,6,79
880,66,2,-2,17,55
572,68,0,-2,14,65
808,66,0,0,7,45
354,68,0,0,12,37
818,68,0,0,3,36
934,68,0,0,1,69
534,70,0,0,5,55
884,70,-2,0,5,40
930,72,0,-2,20,58
408,76,-2,-2,23,46
478,76,0,-2,22,48
356,76,0,0,9,42
342,80,0,-2,13,66
348,78,0,0,9,56
318,82,2,0,9,64
390,82,0,0,6,99
694,82,0,0,9,87
840,82,0,0,6,70
238,84,0,0,5,55
686,84,0,0,4,68
848,84,0,0,2,69
536,86,0,0,4,44
592,88,0,-2,18,94
618,86,0,0,10,94
726,86,0,0,8,67
774,88,0,0,5,72
910,88,0,0,6,52
176,92,0,-2,11,99
962,90,2,0,19,37
744,92,0,0,8,78
268,96,0,0,3,75
490,96,0,0,5,94
984,122,-18,-26,20,25
264,98,0,0,6,35
314,98,0,0,6,61
440,100,0,-2,22,99
212,100,0,0,14,69
806,102,0,-2,21,49
366,102,0,0,10,53
534,102,0,0,5,14
628,102,0,0,5,91
750,102,0,0,11,69
850,102,0,0,5,47
882,102,0,0,7,39
716,106,0,-2,9,75
730,104,0,0,3,57
818,104,0,0,13,94
958,104,0,0,5,24
406,106,0,0,8,22
476,108,0,-2,18,120
646,106,0,0,6,94
482,108,0,0,13,73
548,110,0,0,6,41
800,110,0,0,5,49
216,112,0,0,10,70
486,112,0,0,4,50
184,116,0,0,9,29
410,116,0,0,5,25
940,116,0,0,0,21
242,118,0,0,13,57
186,120,0,0,11,35
418,120,0,0,10,42
684,120,0,0,14,88
984,122,0,0,1,9
226,124,0,0,7,29
792,124,0,0,6,54
606,126,0,0,15,104
612,128,0,-2,20,77
884,126,0,0,4,36
906,126,0,0,7,35
916,126,0,0,5,31
348,128,0,0,12,70
230,132,0,-2,6,43
552,130,0,0,4,43
598,130,0,0,18,100
724,130,0,0,6,54
990,134,0,-4,10,14
420,132,0,0,7,27
478,132,0,0,2,52
646,132,0,0,8,95
640,134,0,0,8,99
652,134,0,0,12,112
860,134,0,0,12,76
882,134,0,0,8,40
916,134,0,0,9,56
990,134,0,0,2,10
322,140,0,-2,10,70
398,138,0,0,8,100
836,138,0,0,8,100
494,142,0,-2,22,35
830,140,0,0,9,73
712,142,0,0,7,59
286,146,0,0,18,70
568,146,0,0,9,100
608,148,0,-2,14,79
390,148,0,0,6,94
932,150,0,0,8,81
944,150,0,0,7,92
1024,150,0,0,5,24
832,152,0,0,7,94
1028,152,0,0,0,23
210,156,0,0,7,27
892,156,2,0,23,71
360,160,-2,-2,13,76
760,158,0,0,4,77
996,158,0,0,3,44
1034,158,0,0,5,40
466,162,0,0,5,82
634,162,0,0,7,102
714,162,0,0,11,102
892,162,0,0,16,74
908,162,0,0,7,78
358,166,-2,-2,20,57
812,164,0,0,10,112
1020,164,0,0,3,57
472,168,0,-2,20,123
768,166,0,0,9,130
786,166,0,0,3,68
438,170,0,-2,15,39
608,168,0,0,9,63
666,170,0,0,12,68
482,172,0,0,10,73
988,172,0,0,3,128
366,174,0,0,12,53
444,178,-2,-4,19,35
610,174,0,0,7,71
690,174,0,0,3,135
226,176,0,0,2,62
572,176,0,0,13,152
812,176,0,0,13,73
924,176,0,0,11,87
948,176,0,0,7,43
1036,176,0,0,4,54
600,178,0,0,12,101
646,180,0,-2,22,76
278,180,0,0,14,71
324,180,0,0,9,78
516,180,0,0,14,84
970,180,0,0,5,78
318,182,0,0,17,93
716,182,0,0,13,93
190,184,0,0,5,27
392,184,0,0,17,94
868,184,0,0,4,69
314,186,0,0,17,77
188,190,0,0,3,33
194,190,0,0,7,46
208,190,0,0,4,37
566,192,0,0,11,52
792,192,0,0,6,86
844,192,0,0,11,31
1010,192,0,0,0,69
658,194,0,0,11,100
