x,y,dx,dy
23,13,-1,-1
23,17,0,0
18,20,0,0
21,23,-1,0
13,27,0,0
18,27,0,0
12,30,0,0
290,35,-1,0
14,37,0,0
59,60,-3,-6
59,60,-4,0
41,127,-2,-5
41,127,-3,6
169,131,1,3
178,133,0,1
177,136,1,0
181,137,1,-1
185,137,0,0
495,140,2,-1
271,143,-4,-1
495,140,-1,2
513,144,0,0
474,140,-4,6
490,146,0,0
488,147,0,0
207,150,0,-1
413,154,-1,0
480,155,-2,0
445,156,-1,0
31,160,-2,-1
31,160,1,0
500,161,0,0
564,170,0,0
558,173,1,-1
126,177,4,-3
562,178,11,-4
562,178,-1,1
586,198,-14,-16
586,198,-16,-15
256,185,9,-1
453,190,3,6
586,198,-6,-2
22,225,-1,5
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
