x,y,dx,dy
139,13,-1,0
15,16,0,0
13,21,2,-1
15,24,0,0
12,26,0,0
57,24,8,6
11,35,0,0
320,90,-2,0
541,91,-1,4
41,111,-1,-10
400,100,2,1
152,84,-24,19
44,106,1,-2
41,111,-3,-5
41,111,0,1
95,125,21,-12
398,112,1,4
311,124,0,-5
208,123,0,-1
308,112,13,14
215,131,0,-1
534,143,0,-11
516,135,1,1
482,140,0,1
29,151,0,-9
224,143,-1,-1
578,146,14,2
139,158,-3,0
549,170,2,-1
549,170,0,0
251,185,1,0
414,210,-2,-4
344,218,2,-3
427,211,1,4
427,211,4,10
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
