x,y,dx,dy
16,15,1,0
15,19,-1,1
18,23,0,0
151,36,0,-2
151,36,-1,1
390,29,0,9
151,36,-6,3
493,40,9,1
55,66,-18,-24
583,42,1,3
529,62,0,0
530,90,2,2
530,90,-4,5
169,121,0,-2
169,121,-1,1
317,122,-3,0
169,121,-2,3
481,132,1,-2
481,132,0,0
496,142,0,0
449,150,2,0
488,150,-1,0
546,156,1,-4
485,154,1,-1
546,156,0,-2
487,157,1,-1
287,168,11,-10
548,160,0,0
562,171,1,-6
29,166,0,0
529,164,0,2
562,171,1,-2
263,180,10,-8
263,180,1,-1
427,183,1,1
263,180,1,8
406,203,-1,-2
424,201,1,3
22,212,-9,18
1,1,0,0
1,1,0,0
