x,y,dx,dy
23,11,0,0
28,12,1,0
21,13,0,0
37,14,0,0
29,17,0,0
15,18,-1,0
27,18,0,0
20,19,0,0
525,35,2,-2
23,34,0,0
525,35,-7,1
14,52,2,0
15,58,0,0
15,62,1,0
13,69,-1,0
184,81,-12,11
454,108,-3,-9
222,110,0,-3
222,110,0,0
224,118,1,-1
217,117,1,1
224,118,1,1
212,123,0,1
209,127,-2,1
535,141,-1,-1
106,136,-2,5
529,146,0,1
531,151,0,0
518,153,-2,0
592,153,0,2
587,159,0,2
558,165,-2,1
596,171,-1,0
290,179,9,-7
388,183,-2,-1
492,180,4,9
254,188,0,2
42,201,-1,16
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
