x,y,dx,dy
55,23,8,-6
139,24,-1,0
448,53,-18,-16
555,79,-1,0
31,99,3,-11
31,99,5,-5
31,99,10,-4
27,131,5,-25
496,109,-14,0
148,104,-12,7
148,104,5,11
148,104,-4,13
542,117,0,14
568,133,10,1
568,133,9,3
465,143,2,-3
465,143,1,-1
465,143,-1,3
423,172,-1,-23
582,172,15,-22
478,152,0,0
485,154,2,0
388,146,1,9
420,166,7,-3
582,172,-4,-3
377,166,11,7
23,164,-1,10
112,189,0,-1
398,179,3,10
231,203,9,-5
262,199,0,0
399,201,-2,-1
231,203,7,-2
558,201,-1,0
165,206,0,2
281,215,7,-1
452,223,-6,-6
452,223,-2,-4
452,223,0,3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
