x,y,dx,dy
15,13,0,0
14,15,0,0
17,16,0,1
248,30,1,0
14,31,-1,0
539,37,-1,2
162,85,1,-1
162,85,0,2
567,109,-23,-11
567,109,-15,-11
567,109,-8,-9
113,85,-11,19
567,109,0,-4
210,108,0,0
398,91,2,21
567,109,16,5
309,114,-5,4
36,100,-3,21
216,131,4,-9
567,109,25,13
213,132,1,-5
216,131,3,-2
517,129,-1,0
156,149,-4,-6
404,152,0,-2
402,159,2,-4
406,154,3,6
286,154,-2,7
286,154,-9,11
554,168,-1,0
577,192,-11,-24
384,175,-17,-4
577,192,-2,-15
246,183,0,0
310,204,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
