x,y,dx,dy
12,12,0,0
13,22,0,0
11,26,1,-1
11,30,1,-1
463,40,0,-1
486,41,-21,5
393,69,-1,-2
589,81,-14,-14
589,81,-1,-1
305,100,4,10
389,122,-4,3
209,136,0,-1
473,136,1,2
214,141,0,-1
527,146,0,-5
216,146,0,0
394,148,-4,0
284,150,-1,1
430,151,1,0
131,152,0,1
427,153,0,0
537,157,-3,-4
423,157,4,-2
398,169,-14,-10
537,157,-4,2
402,172,-3,-9
476,174,-2,-1
108,180,4,16
578,199,-14,-1
346,187,-23,13
414,218,0,-7
414,218,1,-4
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
