x,y,dx,dy
28,13,0,0
37,14,0,0
251,24,17,-3
259,22,1,0
25,25,1,0
91,23,-8,9
574,51,-3,-18
23,38,0,0
426,76,-19,-16
14,71,0,0
584,99,8,-3
584,99,1,6
71,98,-6,14
205,120,-1,-5
443,96,7,21
224,120,0,0
533,121,0,0
529,123,1,-1
221,123,-2,0
454,127,1,-4
205,127,1,-1
454,127,0,0
76,131,0,0
454,127,0,4
264,140,-24,0
309,139,-3,2
447,140,-1,2
264,144,-14,0
264,144,5,0
485,150,-1,0
517,155,0,-1
517,155,2,-1
530,158,0,0
489,161,8,1
588,163,0,0
293,179,21,-15
588,163,-2,1
293,179,10,-8
293,179,22,-8
293,179,7,-3
360,190,2,-3
481,197,-1,-1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
