x,y,dx,dy
69,13,-6,1
137,19,-2,-3
11,22,1,0
15,25,-1,0
220,44,-7,-3
192,41,23,8
548,57,-23,4
181,90,-3,1
545,102,-14,-8
545,102,-11,-7
529,117,1,0
206,125,-1,-1
170,128,-1,-1
401,132,-3,-4
401,132,-2,-1
210,135,-2,-2
210,135,0,-2
221,136,0,0
31,144,-1,-1
312,147,2,-2
31,144,-1,2
31,144,-3,4
312,147,-1,1
31,144,-4,7
143,158,-3,-3
31,144,-2,14
397,157,7,5
550,172,-1,0
495,174,-5,-1
21,202,-1,-13
16,224,0,-24
285,209,-5,-5
285,209,1,-2
16,224,1,-14
16,224,0,-11
16,224,-1,-6
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
