x,y,dx,dy
538,42,1,1
294,59,4,-1
36,85,0,-19
379,96,-3,-15
588,88,1,1
588,88,8,11
476,106,21,3
102,117,-22,2
379,124,1,0
476,106,16,19
207,133,1,2
158,142,1,0
20,166,4,-22
474,147,-1,0
473,149,0,0
137,151,0,-1
242,155,-1,0
287,157,0,1
537,176,1,0
537,176,-1,1
396,178,2,1
232,198,8,-8
13,192,0,0
439,212,-24,-18
13,192,-1,3
150,197,-6,0
232,198,0,-1
364,204,1,-1
367,208,-1,0
232,198,-22,12
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
