x,y,dx,dy
12,13,1,0
142,12,0,2
12,21,-1,0
12,21,1,0
11,30,4,-1
177,36,1,1
239,46,-22,-2
228,43,14,3
200,61,0,0
309,61,-3,1
191,91,25,-3
155,95,-1,-3
482,100,14,-4
482,100,-12,-3
518,90,-7,10
141,92,-16,13
524,146,-2,-13
140,134,1,1
206,134,-1,4
386,134,3,4
524,146,-1,-2
26,148,-1,-1
140,134,5,14
219,149,-3,-1
584,136,8,16
530,149,5,9
385,154,9,5
469,161,3,1
548,162,-1,0
469,161,6,2
383,152,12,13
469,161,16,4
497,165,1,1
266,188,11,-5
564,193,0,-4
591,200,-5,-10
287,197,3,-1
287,197,21,4
13,222,-2,-2
13,222,-2,1
