x,y,dx,dy
12,11,-1,1
140,21,-4,-2
11,21,0,-1
12,24,0,1
12,34,0,0
11,37,0,0
215,39,20,0
246,40,-14,2
288,51,-1,1
306,60,-12,5
300,129,9,-11
169,130,-1,0
173,131,1,0
179,130,0,1
307,140,3,-1
478,142,0,0
485,142,0,0
485,144,0,0
315,144,-1,1
539,151,0,-1
262,154,1,0
470,159,1,-1
548,172,1,-1
548,172,-2,0
556,176,2,-2
264,178,-1,-2
400,165,6,12
264,178,-3,0
408,187,3,2
444,203,2,2
444,203,4,2
574,207,-1,0
444,203,22,12
208,211,-21,6
588,218,-3,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
