x,y,dx,dy
66,14,1,4
14,19,-1,0
13,21,-1,0
13,21,2,0
15,25,-2,0
13,27,2,-1
13,27,0,0
14,34,-2,0
14,34,0,0
212,33,-19,3
549,36,0,0
221,51,2,1
315,55,-1,2
513,57,1,0
433,43,0,15
522,99,-5,-12
522,99,10,-12
300,111,-9,-18
300,111,-7,-18
558,115,-7,-13
28,141,11,-22
28,141,2,-21
155,130,1,-9
391,123,0,0
173,128,0,1
28,141,0,-4
155,130,2,9
542,150,2,-9
28,141,0,2
179,147,0,0
440,147,-1,1
473,149,-1,1
28,141,-6,11
578,133,5,25
473,149,24,14
545,167,0,1
88,186,19,-14
408,162,-2,10
17,189,3,-15
17,189,-2,-11
245,183,-2,2
271,186,3,-1
88,186,-9,6
347,205,-7,-13
17,189,1,9
280,205,-3,-5
88,186,7,20
11,209,1,-2
307,213,-2,12
