x,y,dx,dy
17,13,0,0
21,15,1,0
23,16,1,0
20,20,1,-1
270,21,-19,1
270,21,-1,1
22,24,1,0
21,38,5,-7
24,37,0,0
21,46,0,0
21,49,1,0
449,85,-4,2
221,110,0,-1
220,132,20,-19
217,118,0,2
529,123,0,0
213,125,0,1
234,154,10,-16
531,138,1,0
532,142,0,1
532,150,0,0
525,150,-1,1
184,134,-21,18
470,152,0,1
523,154,1,-1
537,154,0,0
523,154,-1,1
557,164,3,-2
286,178,20,-13
591,166,2,-1
598,170,0,-1
594,170,0,0
598,170,0,1
582,173,-1,0
378,187,-20,-1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
