x,y,dx,dy
20,18,0,1
21,31,0,0
22,34,0,0
515,36,16,1
22,37,0,1
433,53,0,1
12,68,0,0
399,48,21,20
78,78,1,1
222,107,-1,1
215,119,-3,-9
445,104,3,6
220,111,-2,1
364,107,-4,9
215,119,1,-2
152,105,-7,13
213,120,0,0
216,122,1,-1
533,119,-2,3
212,124,0,0
204,125,1,1
63,114,-2,15
228,133,0,0
534,138,1,-2
467,147,-1,-1
468,154,3,-5
525,149,0,0
529,153,0,0
588,157,1,0
588,157,0,2
313,166,-6,5
597,170,-5,2
358,186,-2,-3
491,224,-2,0
43,210,-6,20
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
