x,y,dx,dy
11,22,1,0
11,27,0,1
12,35,0,0
476,39,8,6
536,53,-1,1
375,71,0,-1
38,93,-1,-1
537,96,-11,-1
537,96,16,-1
537,96,4,1
390,114,1,-16
537,96,0,3
300,128,1,-2
473,133,0,0
518,137,-2,-2
173,139,-1,0
480,143,0,0
485,150,1,0
479,152,0,0
153,156,1,1
204,158,-2,0
537,161,1,-1
486,162,-2,-1
22,170,-1,-7
22,170,0,-3
544,174,0,-1
544,174,2,-1
22,170,-2,9
264,180,-5,4
429,192,-1,-2
22,170,-6,22
268,191,-3,3
383,200,4,-3
97,217,-1,5
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
