x,y,dx,dy
25,14,0,0
15,15,-1,0
18,22,0,0
23,31,1,0
309,41,-15,-7
21,35,0,0
20,38,0,0
19,41,-1,0
19,41,1,0
18,44,-1,1
566,59,4,1
374,66,1,1
70,98,3,-14
220,130,0,0
525,134,1,-2
529,131,-1,2
378,141,0,0
58,139,-1,5
180,143,1,1
533,150,0,0
356,160,-19,-6
516,154,1,0
531,154,0,0
529,156,-1,0
532,156,0,0
456,163,2,4
528,168,0,0
148,169,-2,6
316,175,-5,3
122,183,0,-4
46,173,-3,11
122,183,12,9
529,217,-15,-25
452,204,2,-2
481,199,2,6
478,211,-1,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
