x,y,dx,dy
23,11,0,0
21,13,1,0
492,15,-2,-2
492,15,2,2
20,19,-1,0
88,30,0,0
330,26,16,11
549,39,0,1
22,41,0,0
264,41,1,1
84,46,-1,-1
18,46,-1,0
373,50,1,-2
15,52,-1,0
208,54,13,6
15,63,1,-1
195,72,-2,-6
71,97,9,-22
456,105,5,-6
221,110,0,0
206,115,-2,-2
531,122,3,-5
222,119,1,1
218,121,-2,1
531,122,-1,1
208,124,-1,0
208,126,-1,0
258,137,3,-3
520,144,-1,-10
535,137,-1,0
535,142,-1,0
520,144,1,0
484,146,3,-1
536,145,-1,0
527,146,1,0
529,146,1,0
462,149,-1,0
470,152,0,1
536,152,3,2
587,159,-1,1
337,175,-1,-1
493,228,-1,-3
493,228,-4,-2
493,228,3,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
