x,y,dx,dy
21,14,-2,0
29,18,0,0
21,19,0,0
23,31,0,0
23,31,-2,1
571,43,-1,1
87,45,-2,0
18,49,-1,0
370,69,0,0
12,71,-1,0
584,72,-1,0
448,98,1,7
206,117,-2,-6
206,117,0,-2
224,120,0,0
224,120,2,1
120,129,22,0
200,131,0,2
446,138,-7,-2
446,138,1,2
536,148,0,-1
529,142,3,8
40,157,8,-6
589,162,2,-5
527,158,2,0
168,153,-10,10
458,143,8,22
596,172,0,0
596,172,2,0
46,178,0,1
452,181,-2,2
498,225,-11,-6
29,221,0,0
498,225,-10,-2
498,225,-6,2
498,225,-19,3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
