x,y,dx,dy
17,12,1,-1
595,16,-9,2
473,49,-3,-25
16,25,0,0
64,27,1,6
198,47,3,-6
285,44,1,-3
245,46,2,2
482,54,19,-6
482,54,5,-5
524,54,3,3
52,71,3,-1
438,58,13,19
556,114,-4,-6
473,116,17,-7
40,102,1,10
40,102,2,15
316,131,3,-8
45,142,-1,0
532,149,-2,-5
535,152,-2,-6
250,150,2,0
532,149,1,2
26,173,5,-21
158,161,-6,-9
158,161,0,0
559,176,-10,-11
559,176,3,-3
559,176,-4,1
559,176,-2,1
288,185,-1,1
126,197,-16,-1
591,209,-6,2
431,214,0,2
436,227,-1,-1
598,214,-12,12
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
