x,y,dx,dy
31,14,0,-1
29,15,0,0
21,16,1,0
317,22,-13,-5
23,18,0,0
260,20,2,-2
216,28,1,1
23,32,1,0
523,34,10,1
24,39,-1,1
21,43,0,0
381,49,0,0
85,54,-9,8
85,54,-3,10
12,66,1,0
11,69,2,0
70,105,-1,-9
454,87,-2,10
70,105,-5,-2
457,104,-1,0
218,107,0,0
451,113,-3,-5
225,109,-1,1
451,113,-3,-2
212,120,0,-2
202,121,-2,-1
375,125,2,0
530,135,0,2
524,141,-1,0
534,143,2,1
480,148,1,0
533,154,2,1
529,158,-3,-1
321,161,2,-3
475,172,7,7
474,203,1,0
489,207,-3,-2
489,207,-2,1
41,203,-4,7
489,207,-1,4
482,218,3,0
482,218,10,5
41,203,-2,24
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
