x,y,dx,dy
15,20,0,0
17,23,1,0
15,24,0,0
206,30,-3,1
218,39,-3,-1
218,39,25,1
236,40,3,1
259,41,19,22
323,65,-1,2
179,62,14,13
162,89,0,0
394,112,-3,-6
565,107,0,-1
565,118,-16,-8
213,116,-1,-2
213,116,1,-1
166,128,1,-1
213,116,2,12
587,151,10,-18
527,146,-2,-8
404,143,-3,-3
587,151,6,-10
534,141,1,2
404,143,0,3
527,146,0,1
148,143,3,5
148,143,4,7
527,146,-2,5
540,156,3,3
587,151,0,10
409,160,3,3
262,181,-8,3
371,184,13,2
515,195,3,-2
238,192,-15,11
418,201,2,8
467,211,7,3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
