x,y,dx,dy
66,13,-24,12
12,30,0,-1
50,51,5,-21
50,51,2,-20
11,33,0,0
168,53,-23,-10
222,45,-1,2
454,28,5,24
315,65,-1,2
591,75,1,1
50,60,-8,17
261,65,4,13
50,60,-13,20
50,60,-4,22
540,106,-22,-12
540,106,-9,-4
99,112,-6,9
181,131,-1,0
174,134,0,0
472,140,1,-3
478,152,0,-2
470,152,0,-1
435,154,1,-1
478,152,0,1
405,176,-7,-18
538,166,1,-3
27,170,1,-6
549,175,-1,0
74,178,-4,3
17,179,-1,6
418,185,-1,1
265,200,8,-6
397,195,1,0
392,197,-4,4
441,198,1,6
572,199,13,7
419,228,-1,-2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
