x,y,dx,dy
14,28,-1,0
13,33,0,0
338,15,18,19
12,37,0,0
185,38,-2,0
236,60,-5,-19
510,62,2,-1
316,77,-1,3
597,84,1,2
161,89,15,-2
34,110,2,0
585,136,-6,-19
585,136,-1,-10
34,110,-3,17
169,129,-1,0
585,136,7,-6
169,129,0,2
477,148,-5,-17
585,136,12,-3
477,148,-7,-13
163,140,-1,-2
480,142,0,-1
486,142,0,0
485,149,0,-1
485,149,1,1
472,152,1,-1
479,151,1,0
477,152,-1,1
274,172,9,-15
534,161,1,-3
29,146,-2,13
512,169,3,-4
21,164,1,3
398,163,5,5
512,169,-3,-1
398,163,0,6
512,169,0,0
544,172,2,-1
111,182,8,-10
544,172,-2,1
274,172,-2,2
17,193,4,-17
365,184,-11,20
299,209,-1,1
337,215,-2,-3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
