x,y,dx,dy
28,14,1,-1
22,14,0,0
24,17,-1,0
16,18,0,0
254,23,23,-5
22,19,0,0
198,16,-6,3
198,16,-8,5
485,42,-16,-20
214,31,2,-1
25,33,1,0
21,46,1,0
403,54,6,-5
19,54,0,0
20,58,2,0
18,59,0,0
17,62,0,0
239,65,15,1
575,95,-18,-1
456,98,0,1
575,95,19,6
364,116,4,-11
364,116,7,-11
224,106,-1,2
218,118,0,0
528,123,0,1
189,131,1,-1
533,137,0,-1
538,139,-1,0
488,147,2,-2
533,144,0,1
532,148,0,0
529,153,0,0
532,155,-1,0
298,173,0,1
48,178,-4,19
495,211,-1,-1
494,216,3,5
375,222,5,4
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
