x,y,dx,dy
12,13,0,0
141,11,0,2
12,23,0,-1
11,26,0,0
543,35,0,1
262,37,0,3
233,41,-6,1
445,43,-2,4
218,61,-1,-7
34,100,2,-9
511,97,-25,-6
156,95,-2,-2
295,111,0,2
211,120,0,1
163,128,1,0
519,130,0,0
522,139,0,-1
212,140,-1,1
394,144,-1,-2
215,143,-1,0
257,149,-11,-5
394,144,1,2
527,140,-1,6
144,151,-1,-2
144,151,1,1
393,159,-10,-7
482,165,-3,0
272,169,-5,0
264,179,7,-7
552,174,2,-2
552,174,-2,0
560,186,-2,-10
371,186,1,-2
102,183,-4,3
267,185,-2,2
401,187,2,0
51,195,4,-3
320,197,-1,-1
268,208,-2,0
592,223,-13,-6
78,222,-1,-3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
