x,y,dx,dy
19,12,0,1
20,17,0,0
34,16,-1,1
13,18,0,0
15,18,0,0
26,19,0,0
23,27,0,0
23,32,-1,-1
21,35,0,0
88,37,-5,0
21,38,-1,0
214,41,-1,0
569,61,-7,-14
163,49,-1,0
417,61,7,1
376,63,1,1
162,69,1,1
229,85,-4,-5
585,109,-8,0
216,119,1,-2
216,119,0,2
205,126,-1,0
358,118,-7,9
213,129,-2,4
526,134,0,0
531,141,1,-2
51,165,6,-24
528,147,0,-1
219,148,-1,-1
304,172,-12,-21
531,153,0,0
479,159,3,-2
479,159,1,-1
514,158,0,1
462,175,-9,-11
460,164,4,4
585,171,1,-2
174,149,6,25
300,179,3,-2
48,175,-3,4
591,180,0,0
48,175,-3,8
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
