x,y,dx,dy
22,11,0,0
13,18,0,0
21,23,0,0
16,37,-1,0
14,41,0,0
592,53,0,-1
357,53,-13,8
66,88,-13,-22
66,88,0,-9
212,96,-8,-1
177,106,-5,-1
557,115,-3,-8
557,115,-18,-6
202,122,0,-1
202,122,-1,2
211,124,0,1
50,146,4,-20
200,131,0,0
202,133,0,-1
202,133,0,1
449,147,-2,-11
50,146,0,-5
515,150,0,-4
524,148,1,-1
445,154,0,-4
511,153,-2,-3
516,154,0,0
511,157,0,0
515,163,0,-2
442,159,1,3
520,161,1,1
469,163,1,0
328,159,9,11
508,196,23,-16
563,183,1,-1
585,184,2,-2
563,183,5,2
480,207,1,-2
387,205,0,1
478,227,-4,-2
478,227,-1,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
