x,y,dx,dy
17,23,0,0
385,14,-17,12
14,30,1,-1
17,32,0,0
13,38,-1,0
13,41,-1,0
301,38,-10,5
12,44,0,0
583,49,2,2
590,63,-5,-6
204,42,-19,23
555,72,3,0
63,90,3,-10
346,86,-1,-2
166,89,23,0
58,106,5,-8
58,106,-3,13
349,118,-3,3
199,122,-1,10
520,137,1,-2
513,143,2,-3
306,151,-14,-5
521,148,0,-1
41,162,5,-14
41,162,4,-11
206,150,1,1
512,152,0,-1
526,150,-2,1
512,152,0,1
507,153,1,1
574,177,2,-3
574,177,1,-1
579,173,-2,3
276,189,8,-6
321,195,0,0
442,215,7,-17
366,210,-14,-9
340,216,-8,-6
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
