x,y,dx,dy
17,11,-1,0
18,23,0,0
15,24,0,0
19,26,0,0
432,28,-2,0
18,29,0,0
13,34,1,-1
246,34,0,-1
246,34,7,0
12,40,-1,0
469,44,-3,4
550,47,-1,1
403,83,-4,-3
504,97,11,-2
530,91,2,5
530,91,1,8
416,106,7,-6
596,109,-1,1
596,109,-4,9
186,124,0,0
171,132,2,2
548,142,0,-3
491,140,0,1
196,123,-16,22
549,148,1,-2
147,150,-2,0
450,150,-1,0
450,150,1,0
483,150,1,0
481,151,1,0
488,151,-1,0
483,157,0,-1
25,157,0,2
555,172,-2,0
555,172,0,0
30,177,1,-2
293,186,3,-2
395,197,-3,0
20,209,-4,20
426,229,15,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
