x,y,dx,dy
27,13,-1,0
31,14,-1,0
25,15,-1,0
24,19,0,-1
31,20,0,-1
171,25,-1,1
25,36,-1,0
516,39,-12,-1
83,43,2,0
22,43,0,1
16,66,-1,0
573,69,0,0
12,77,0,-1
61,113,9,-24
585,106,2,-12
585,106,-5,-10
350,93,1,4
198,108,0,2
198,108,-2,3
61,113,2,-1
177,144,16,-23
56,145,4,-23
511,133,0,-2
511,133,-1,4
246,143,2,-1
246,143,-5,0
474,151,-1,0
459,164,-9,-11
553,168,-11,-1
472,172,-1,1
200,170,-2,8
540,190,3,1
285,229,-2,-3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
