x,y,dx,dy
17,12,-1,0
21,13,1,0
18,16,0,0
12,18,-1,0
22,20,0,0
18,23,1,0
18,34,-2,0
14,44,-1,0
524,54,-8,-8
11,55,2,-7
598,49,0,-1
11,49,0,0
307,58,-4,9
508,61,-21,20
598,113,-7,3
206,133,-1,0
522,137,2,-2
522,137,0,-1
447,143,1,4
53,144,0,5
436,149,2,0
245,181,-2,-25
446,158,1,-2
480,158,1,-1
510,158,1,-1
44,171,5,-13
521,157,1,1
44,171,2,-12
389,158,18,3
90,176,22,-10
512,161,-2,5
512,161,0,6
154,169,-8,6
547,181,-11,-2
591,181,-1,1
291,187,-1,-1
291,187,6,0
475,190,4,5
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
