x,y,dx,dy
16,16,1,-1
20,18,-1,1
20,23,1,0
18,34,0,0
16,40,0,0
18,30,-7,21
67,75,3,-1
246,87,12,2
593,112,-24,-11
356,115,-6,3
593,112,3,10
211,124,0,-1
356,115,-8,8
204,129,1,3
524,137,2,-2
444,146,-1,0
530,152,0,0
55,129,-8,25
514,155,-1,0
167,158,-4,-2
518,157,0,0
509,159,2,-1
514,159,0,0
231,160,9,0
514,159,-2,1
448,166,-1,-1
580,175,3,-5
43,174,-1,0
450,161,13,20
589,182,2,-1
589,182,-2,0
589,182,-4,1
271,179,-3,5
403,187,1,0
471,194,2,1
35,224,4,-24
445,220,6,-20
271,179,7,23
387,206,-1,-1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
