x,y,dx,dy
21,12,1,0
16,14,1,0
21,17,1,0
70,31,-6,-14
597,25,-3,-8
14,25,0,0
45,55,7,-21
563,36,0,0
584,41,-4,-3
12,40,0,0
323,106,10,-10
323,106,-4,2
580,107,-6,1
323,106,-4,4
323,106,1,4
593,123,-4,-13
168,118,-1,1
43,98,-3,24
480,130,-1,4
489,141,0,0
181,139,6,9
487,149,1,1
466,149,1,3
547,153,0,0
300,153,-4,1
483,157,0,0
445,162,2,-3
529,164,2,-1
445,162,4,4
425,176,5,0
409,193,0,1
410,197,1,6
433,213,0,3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
