x,y,dx,dy
15,11,0,0
17,14,-1,0
447,25,-3,-2
15,25,-1,0
19,26,-1,0
11,29,0,0
18,30,0,-1
12,40,0,0
476,41,-2,1
525,60,0,0
305,106,-12,-19
402,110,1,0
169,130,0,-8
163,136,-1,0
477,133,0,4
496,141,1,0
407,145,1,2
488,151,1,1
414,166,-4,-12
481,155,0,0
545,155,1,0
484,158,0,-1
414,166,2,-1
513,166,0,-1
414,166,3,1
414,166,4,4
555,172,3,-1
244,192,24,-18
51,184,3,-2
23,190,0,2
220,200,14,-8
495,213,24,17
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
