x,y,dx,dy
22,12,1,0
20,20,0,0
23,31,0,0
23,34,-1,0
575,56,-2,-21
19,46,2,-9
23,41,-1,0
19,46,1,0
408,55,25,-4
16,62,0,0
250,50,-12,23
181,86,1,5
367,102,-1,2
447,106,0,2
450,115,1,-1
216,117,1,0
214,120,0,0
532,120,0,0
218,124,0,0
207,127,1,0
529,141,1,0
533,142,1,0
531,143,1,0
519,145,0,1
530,147,0,-1
481,147,-1,1
526,151,0,0
517,153,-1,1
535,154,1,0
593,153,-1,4
550,144,-14,14
593,153,-4,8
564,169,-8,-4
564,169,-3,0
454,179,0,4
355,197,-8,-8
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
