x,y,dx,dy
24,11,0,0
22,13,0,0
19,16,1,-1
25,15,-1,1
248,16,1,0
21,17,0,0
21,20,0,1
24,37,0,0
20,45,1,-1
89,45,-1,0
19,49,-1,0
13,70,-1,0
463,91,3,3
225,108,0,-1
446,114,1,0
211,122,1,0
457,136,0,-12
530,123,-1,1
223,123,0,2
446,130,2,1
457,136,0,-4
535,141,-1,1
336,148,4,-3
485,147,2,-2
485,147,-1,-1
527,146,2,0
467,149,-4,0
594,149,0,2
593,147,-1,5
150,174,18,-21
539,154,0,0
472,156,3,5
150,174,13,6
42,216,4,-11
42,216,-4,4
42,216,-5,7
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
