x,y,dx,dy
22,12,-2,-1
229,11,-3,0
22,12,1,0
27,14,0,0
191,16,-2,2
253,16,-5,7
21,23,1,1
24,26,0,-1
89,30,-1,1
23,38,0,0
591,45,-10,-2
379,52,1,-1
16,58,0,0
80,66,2,0
65,110,9,-18
441,73,6,21
209,102,-1,5
219,110,-1,-1
219,110,2,0
359,113,2,-3
225,118,-1,-1
202,123,3,0
526,122,-1,1
456,144,-9,-10
523,152,-4,-1
537,154,0,0
586,157,1,-1
586,157,-1,2
592,166,5,-4
476,176,3,3
485,178,4,3
365,190,0,-8
43,201,-2,3
43,201,1,3
488,204,-2,3
344,217,-4,-3
475,207,-13,20
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
