x,y,dx,dy
17,12,-1,-1
23,13,1,0
23,20,-1,0
20,24,-1,0
249,30,0,1
15,42,1,0
14,45,0,0
228,60,-16,-4
228,60,-1,0
378,65,-1,0
178,85,14,9
178,85,11,10
350,108,-7,-11
178,85,0,14
351,118,11,-16
584,107,3,-3
584,107,13,-3
350,108,-5,3
584,107,-7,12
199,132,2,-11
212,124,1,0
206,134,3,-1
206,134,-1,0
518,153,0,0
520,152,0,2
513,157,1,-1
392,157,2,0
521,157,0,0
152,171,11,-12
513,159,-1,1
580,175,5,-14
580,175,5,-9
566,179,0,1
593,182,1,-2
45,172,-2,12
479,197,-6,-7
266,201,4,0
36,208,-1,2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
