x,y,dx,dy
25,13,-1,1
34,17,0,0
16,18,-1,0
16,21,1,0
25,24,-1,0
19,38,1,0
73,71,0,-2
11,75,1,0
57,128,5,-19
215,122,1,-1
216,132,0,-1
219,131,0,0
529,131,0,0
447,141,0,0
510,143,4,1
529,146,0,-1
48,168,5,-22
178,145,-1,1
529,148,0,0
48,168,4,-19
520,152,0,1
532,155,-1,-1
543,153,0,1
514,157,0,1
530,161,0,-1
517,160,0,1
596,178,-2,1
206,176,4,10
591,189,0,0
453,206,0,-2
470,211,3,-2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
