x,y,dx,dy
18,12,-1,0
19,15,1,0
20,20,-2,0
20,20,0,1
18,50,6,-20
21,43,-1,0
18,50,1,0
18,50,-1,1
210,80,22,-6
264,76,-11,0
582,94,-4,1
222,126,0,0
530,127,1,-1
349,119,22,9
530,129,0,-1
207,130,0,-1
190,132,-1,1
372,134,0,1
535,146,0,0
513,146,-1,1
470,173,-19,-24
535,152,1,0
525,164,1,0
534,164,2,2
50,169,-1,0
323,167,1,2
323,167,-3,5
552,174,-6,-2
470,173,1,1
596,176,1,0
516,188,-17,-1
348,203,-9,-8
483,222,3,2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
