x,y,dx,dy
12,21,0,0
12,24,-1,0
12,24,2,0
12,29,0,0
567,43,1,-1
146,42,-2,2
151,49,-1,1
44,79,1,-24
376,67,6,2
587,91,3,1
39,92,-1,1
519,103,-12,-6
548,106,-6,-7
519,103,11,-1
573,123,10,-7
573,123,4,-3
159,127,2,-4
168,127,-1,0
168,127,1,0
178,128,-1,0
168,127,0,3
161,141,-4,-8
485,149,-1,0
479,150,0,0
263,151,-1,0
471,153,0,-1
475,153,0,0
480,152,0,1
539,160,1,-6
402,175,-6,-15
551,170,0,0
536,175,11,-1
410,182,-1,1
249,184,-4,3
585,203,-7,-6
410,208,-2,12
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
