x,y,dx,dy
20,11,-3,0
148,12,-1,-1
15,18,1,0
460,25,-7,-5
11,33,0,0
458,25,13,13
566,39,1,0
239,37,19,3
497,40,17,17
184,76,8,2
118,90,-10,-5
545,102,7,-12
545,102,12,-8
165,134,-1,-12
182,124,0,0
589,108,-10,20
492,140,0,0
210,146,5,-3
598,160,-5,-16
548,152,2,-3
545,150,0,0
146,155,-2,-1
438,155,2,-1
444,153,-1,1
482,156,-1,0
563,168,0,-8
424,175,0,1
555,177,-1,-1
582,196,-15,-19
433,183,4,5
582,196,0,-2
582,196,3,-1
582,196,-4,1
17,229,1,-13
431,225,10,-2
431,225,13,0
341,214,-1,16
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
