x,y,dx,dy
30,12,-1,0
20,12,1,1
19,16,0,0
29,18,0,0
26,25,-1,0
23,30,0,0
24,33,0,0
21,45,0,0
434,53,-18,-5
17,57,0,-1
194,83,21,-14
13,70,0,0
194,83,15,-9
449,109,-5,-24
567,93,21,5
567,93,23,6
567,93,17,7
209,117,-4,-10
224,108,-1,1
356,108,-24,1
209,117,-1,-3
221,116,0,0
361,112,-8,5
226,118,1,0
528,129,0,-2
455,129,1,-1
533,136,2,-2
244,135,-3,0
533,136,-1,-1
103,138,-3,-1
533,136,0,1
62,135,-1,4
537,139,-1,0
524,143,-1,-2
528,144,0,0
588,160,6,-14
539,152,-2,-1
539,152,3,2
588,160,1,-2
588,160,-1,-1
596,171,0,-1
53,163,-4,13
278,185,-15,6
450,176,24,19
465,205,-3,-6
374,214,0,9
374,214,11,11
490,222,2,3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
