x,y,dx,dy
19,20,0,0
16,22,-1,0
19,27,0,0
211,32,-1,-5
19,29,1,0
211,32,4,-3
13,38,0,0
211,32,-4,6
273,35,2,4
527,39,4,0
501,44,-1,-2
501,44,3,0
64,47,-1,-2
498,102,15,-9
498,102,9,-4
404,118,-1,-6
48,109,-4,10
191,123,1,0
489,129,-1,1
188,132,0,0
496,137,0,0
496,141,0,0
41,143,0,0
489,147,0,0
201,149,1,-1
501,149,0,0
555,148,0,1
489,150,-1,1
478,156,4,-1
487,156,-1,-1
478,156,-2,1
500,160,3,2
555,154,-3,8
85,167,0,-1
237,177,-6,-9
291,161,0,7
566,170,0,0
260,182,12,-6
391,202,-19,-15
315,197,-3,3
340,200,14,6
19,221,1,7
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
