x,y,dx,dy
91,18,-9,-5
37,14,0,0
28,18,0,0
91,18,0,1
191,20,-4,1
23,25,0,0
299,27,-24,-1
91,18,4,9
24,28,1,0
23,31,0,0
23,34,-1,0
23,34,1,0
281,40,-1,-2
548,41,2,-3
233,42,-7,-1
76,40,7,4
18,46,2,0
376,45,-3,4
370,68,1,-3
221,111,1,-1
219,110,0,2
533,137,0,0
258,138,0,0
489,145,0,0
536,146,1,0
530,144,1,3
525,151,1,0
532,152,-1,-1
528,153,0,0
527,155,1,1
318,161,6,-1
587,161,0,0
596,172,-2,-1
596,172,1,-1
463,194,5,13
396,199,23,23
396,199,-5,25
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
