x,y,dx,dy
13,21,-1,0
12,24,0,0
12,29,0,0
12,29,2,0
475,41,-3,1
266,35,19,17
40,93,-1,-2
299,92,14,-1
299,92,6,0
143,92,-12,5
40,108,1,-8
569,119,11,-11
164,140,-4,-18
299,131,4,-5
169,130,-1,0
173,130,1,0
164,140,-1,-6
472,129,-2,6
164,140,0,-3
480,137,0,0
398,148,-3,-8
480,142,0,1
485,149,-1,-1
192,155,-9,0
470,155,0,0
21,169,1,-6
546,171,2,0
113,173,0,-1
27,172,-1,3
578,205,5,-2
86,213,-20,6
421,228,0,-4
471,225,0,1
421,228,5,2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
