x,y,dx,dy
63,21,0,-2
15,22,0,0
12,23,0,0
173,39,0,-1
54,39,-8,18
377,57,-2,1
54,39,-5,23
54,55,-1,20
552,95,-14,6
180,123,1,0
154,128,0,0
466,137,1,0
487,136,1,1
162,140,0,-2
487,139,1,0
69,150,-2,-5
168,146,2,0
143,146,-1,1
444,148,-1,0
192,147,10,2
439,151,2,-1
143,146,10,5
546,153,6,-2
546,153,-1,2
255,179,-2,2
346,190,0,-1
390,192,0,0
426,203,0,0
292,199,3,5
292,199,4,7
319,216,-5,-9
319,216,-8,-3
432,218,1,-4
19,192,0,24
432,218,-5,-2
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
