x,y,dx,dy
29,12,-1,-1
21,12,0,0
19,14,0,0
35,15,-1,0
18,20,0,0
22,29,0,0
271,33,-23,-3
21,40,0,0
19,43,1,0
539,49,-2,1
418,52,0,0
392,59,-1,0
434,86,13,-17
223,77,10,6
67,96,-21,-11
182,98,2,-12
350,90,-4,-4
67,96,0,2
457,94,-4,8
556,105,3,-2
586,108,7,-1
213,129,-1,-1
528,130,0,0
145,109,-5,23
531,145,0,0
520,151,0,-2
520,151,1,0
521,155,0,0
530,161,-1,-1
511,161,2,0
242,150,-17,19
597,178,0,-2
299,178,3,2
482,192,-5,-5
382,196,-5,-3
452,210,7,-16
456,200,-9,3
238,207,-3,-1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
