x,y,dx,dy
230,12,1,-1
63,21,-3,-3
12,20,1,0
14,28,-1,0
14,28,1,0
13,33,0,-1
413,43,-1,0
322,67,-1,-1
566,68,-13,0
151,96,23,-10
544,96,-17,-1
160,124,0,0
177,126,-1,1
168,129,0,0
473,133,0,-2
598,135,-6,-4
479,143,-1,-1
304,145,0,1
478,149,0,1
476,151,0,0
129,149,-1,4
475,153,0,0
139,154,0,0
471,155,0,0
542,160,-1,1
547,170,-1,1
556,175,-4,0
266,177,-3,3
417,203,5,5
16,198,-3,14
477,225,-3,-3
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
