x,y,dx,dy
65,23,8,-12
65,23,4,-5
65,23,8,-4
11,26,2,-1
12,34,1,0
242,41,2,2
556,44,0,1
233,44,13,3
594,88,3,-2
303,126,1,-1
479,128,1,-1
170,131,-1,-1
179,130,0,0
175,134,-1,0
36,122,-5,17
481,143,1,-3
488,143,0,-1
299,145,-1,1
36,122,-9,25
466,165,1,0
400,169,-6,-3
18,193,6,-23
398,173,1,0
546,174,1,0
18,193,3,-18
412,181,0,-5
18,193,4,-16
18,193,3,-13
18,193,-1,-11
18,193,0,-7
18,193,2,-7
18,193,0,-2
18,193,-1,0
239,195,2,-1
439,195,3,5
439,195,18,16
12,221,-1,-8
424,216,1,1
579,216,2,1
413,222,7,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
