x,y,dx,dy
13,15,-1,0
12,20,0,1
11,23,0,0
505,27,0,0
11,28,0,1
258,36,1,1
129,45,-1,-1
515,67,-1,0
293,105,-20,-18
502,99,8,1
476,102,-2,-1
547,111,3,-10
293,105,-17,-1
293,105,0,1
547,111,14,3
27,126,4,-11
209,123,-2,-4
386,129,1,-2
522,135,1,4
146,148,-3,-8
453,144,1,-3
294,146,-2,-1
442,147,0,0
299,145,-2,3
533,150,-1,1
425,155,0,-1
533,150,-1,6
585,136,13,24
116,182,-13,-20
119,171,1,-5
119,171,-1,-3
308,177,0,-1
280,185,0,0
270,186,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
