x,y,dx,dy
18,14,0,-1
15,19,-1,0
11,23,0,-1
17,27,0,0
248,46,-4,-3
570,42,0,1
536,45,-2,0
380,62,-4,3
380,62,17,4
354,68,22,23
174,95,5,0
174,95,2,1
174,95,4,8
174,95,-25,9
419,116,2,-10
319,107,1,0
174,95,-17,14
41,126,3,-15
41,126,2,-12
234,127,0,1
406,111,2,19
234,127,1,6
37,140,-1,1
447,164,2,-1
432,181,-10,-14
432,181,-1,-7
448,192,0,0
297,193,-1,0
439,196,2,2
439,196,4,3
448,192,4,9
419,202,0,0
439,196,6,8
18,223,2,-9
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
