x_data,y_data,time
0.0,0.0,2022-05-27 12:27:07.061061
2.6995950182246095e-05,0.0008995950303740888,2022-05-27 12:27:07.073582
0.00021587042332600053,0.003593521943766735,2022-05-27 12:27:07.100732
0.0007280162485038894,0.008067217137397152,2022-05-27 12:27:07.111443
0.0017238557849604387,0.014296444356295674,2022-05-27 12:27:07.136409
0.003362357980655982,0.02224734925356095,2022-05-27 12:27:07.147202
0.005800558178996703,0.031876535646335136,2022-05-27 12:27:07.171631
0.009193081583212989,0.043131163339334935,2022-05-27 12:27:07.182198
0.013691671282202951,0.05594906735147691,2022-05-27 12:27:07.207770
0.019444721734615793,0.07025889834507343,2022-05-27 12:27:07.218189
0.02659681859952056,0.08598028402130453,2022-05-27 12:27:07.243454
0.03528828579220115,0.10302401121024131,2022-05-27 12:27:07.253688
0.04565474063245165,0.12129222834866034,2022-05-27 12:27:07.277388
0.05782665794023286,0.14067866800429732,2022-05-27 12:27:07.287562
0.07192894391970817,0.16106888907109115,2022-05-27 12:27:07.311035
0.08808052065752409,0.18234053822641705,2022-05-27 12:27:07.321127
0.10639392204475766,0.20436363020834705,2022-05-27 12:27:07.344103
0.12697490191424424,0.22700084643865992,2022-05-27 12:27:07.354293
0.1499220551660478,0.25010785148569115,2022-05-27 12:27:07.377293
0.17532645263366659,0.2735336268302211,2022-05-27 12:27:07.387484
0.20327129042221273,0.2971208213674842,2022-05-27 12:27:07.410361
0.2338315544272868,0.3207061180490931,2022-05-27 12:27:07.420538
0.26707370071962766,0.3441206160402521,2022-05-27 12:27:07.443501
0.30305535245587883,0.3671902277401224,2022-05-27 12:27:07.453539
0.34182501395001164,0.38973608998664,2022-05-27 12:27:07.476453
0.3834218025131255,0.41157498874152426,2022-05-27 12:27:07.486498
0.42787519864152956,0.43251979652666955,2022-05-27 12:27:07.509218
0.4752048151042504,0.4523799218596412,2022-05-27 12:27:07.519418
0.5254201854514382,0.47096176991362704,2022-05-27 12:27:07.542243
0.5785205724346049,0.48806921360595695,2022-05-27 12:27:07.552379
0.6344947967982614,0.5035040742992383,2022-05-27 12:27:07.575125
0.6933210868703787,0.5170666112802843,2022-05-27 12:27:07.585176
0.7549669493462,0.5285560191643761,2022-05-27 12:27:07.608180
0.81938906162637,0.537770932356014,2022-05-27 12:27:07.618312
0.8865331860361171,0.5445099356822163,2022-05-27 12:27:07.641137
0.9563341062174037,0.5485720803006291,2022-05-27 12:27:07.651229
1.028715585950603,0.5497574039722504,2022-05-27 12:27:07.674190
1.1035903506263864,0.547867454777457,2022-05-27 12:27:07.684321
1.1808600915522016,0.5427058173442822,2022-05-27 12:27:07.707228
1.2604154932409959,0.5340786406495364,2022-05-27 12:27:07.717303
1.3421362837928057,0.52179516644641,2022-05-27 12:27:07.740183
1.4258913084424651,0.50566825736666,2022-05-27 12:27:07.750253
1.5115386263091029,0.4855149237413721,2022-05-27 12:27:07.773032
1.5989256303453256,0.4611568481816175,2022-05-27 12:27:07.783339
1.687889190446065,0.4324209069590948,2022-05-27 12:27:07.806134
1.7782558196390859,0.39913968722706844,2022-05-27 12:27:07.816218
1.8698418632411213,0.36115199912359586,2022-05-27 12:27:07.838916
1.9624537108256357,0.31830338180216,2022-05-27 12:27:07.849059
2.055888030810281,0.2704466024394186,2022-05-27 12:27:07.871993
2.1499320274343745,0.21744214727582073,2022-05-27 12:27:07.882029
2.2443637198591224,0.15915870375233154,2022-05-27 12:27:07.904752
2.3389522430859984,0.09547363281544045,2022-05-27 12:27:07.914851
2.433458170351646,0.026273430472999525,2022-05-27 12:27:07.937709
2.527633856621,-0.0485458223047686,2022-05-27 12:27:07.947786
2.621223802764043,-0.12907802223154857,2022-05-27 12:27:07.970531
2.7139650399657937,-0.21540661977633294,2022-05-27 12:27:07.980657
2.805587533883849,-0.30760420952181217,2022-05-27 12:27:08.003548
2.8958146080330214,-0.40573213565424726,2022-05-27 12:27:08.013579
2.984363385842522,-0.5098401134106256,2022-05-27 12:27:08.036292
3.070945250797668,-0.6199658672888777,2022-05-27 12:27:08.046341
3.155266324045352,-0.7361347868056014,2022-05-27 12:27:08.069180
3.23702795881053,-0.85835960056315,2022-05-27 12:27:08.079271
