# x, y, dx, dy, 1st best, 2nd best
1036,22,0,0,13,91
250,24,0,0,16,91
912,24,0,0,16,59
986,26,0,-2,19,58
424,24,0,2,10,47
506,26,-2,0,17,71
670,26,-2,0,19,76
172,28,0,0,4,45
526,28,0,0,8,61
638,28,0,0,16,89
126,30,0,0,9,128
160,30,2,0,15,26
950,30,-2,0,15,73
970,30,0,0,18,65
156,32,-2,0,13,26
280,32,-2,0,14,49
474,32,0,0,12,52
894,32,-2,0,14,35
904,32,-2,0,9,50
288,36,-2,-2,22,71
420,36,-2,-2,13,43
428,36,-2,-2,11,52
160,36,0,0,10,110
592,36,0,0,23,90
736,36,-2,0,14,72
864,38,-2,0,7,10
482,40,0,0,14,34
692,40,-2,0,17,104
300,42,-2,0,20,70
862,44,-2,-2,4,15
912,44,0,-2,17,52
198,44,0,0,7,34
288,44,-2,0,22,45
322,44,0,0,10,44
782,44,-2,0,19,106
416,46,-2,0,17,67
876,46,-2,0,9,26
202,48,0,0,9,36
328,48,0,0,9,65
668,48,-2,0,21,84
1024,48,0,0,18,96
180,50,0,0,15,72
360,50,0,0,21,50
512,50,0,0,15,90
556,50,0,0,18,73
248,52,0,0,22,73
572,52,-2,0,13,61
786,58,-2,0,21,57
828,68,0,-10,21,30
902,58,0,0,21,44
968,58,0,0,12,39
522,60,-2,0,13,62
528,60,-2,0,23,64
468,60,-2,2,16,78
942,62,0,0,17,57
126,64,0,0,15,46
358,62,0,2,10,43
760,64,-2,0,13,67
354,66,0,0,17,69
632,66,-2,0,16,106
776,66,0,0,18,74
900,66,-2,0,11,43
1086,66,0,0,10,79
590,68,0,0,19,58
828,68,0,0,3,22
858,68,-2,0,8,27
892,68,-2,0,11,34
160,70,0,0,19,92
758,76,0,-2,15,40
952,76,0,-2,7,46
396,78,0,0,22,83
446,80,0,0,14,70
736,80,0,0,16,39
854,80,-2,0,14,38
904,82,0,0,16,70
1032,80,-2,2,18,46
300,84,-2,0,23,56
954,84,-2,0,10,38
458,86,-2,0,21,82
1024,90,-2,0,17,59
326,92,-2,0,16,73
530,92,0,0,10,114
672,94,0,0,9,93
182,96,0,0,22,84
780,98,-2,0,7,74
526,100,-2,0,23,86
276,102,-2,0,22,80
454,104,-2,0,20,75
548,104,-2,0,17,59
746,104,0,0,16,77
320,106,0,0,16,51
488,108,-2,0,14,56
924,108,-2,0,14,71
320,112,0,0,17,58
562,114,-2,-2,13,66
682,112,0,0,17,71
180,114,0,0,17,59
976,114,-2,0,23,65
918,116,-2,0,17,88
950,116,-2,0,22,54
864,118,0,0,16,64
980,118,0,0,21,70
956,120,0,0,15,71
160,122,0,0,10,33
714,124,-2,0,14,60
758,124,0,0,12,59
812,124,-2,0,21,76
870,124,-2,0,16,39
230,126,-2,0,16,87
864,126,0,0,3,35
1030,130,0,-2,18,37
506,130,-2,0,13,68
632,134,-2,-2,16,49
730,132,-2,0,10,58
182,134,0,0,20,72
304,134,-2,0,11,70
378,136,-2,0,18,52
626,136,0,0,11,40
198,138,0,0,9,46
316,138,-2,0,12,63
478,138,-2,0,23,77
862,138,-2,0,7,35
1022,138,0,0,19,30
1028,140,0,-2,16,44
338,140,0,0,7,56
360,140,0,0,6,33
444,138,0,2,19,110
706,140,0,0,13,78
896,140,-2,0,16,77
1024,166,12,-26,22,36
322,142,0,0,13,60
388,142,0,0,18,52
228,144,0,0,15,49
146,150,-2,-2,15,48
894,148,0,0,12,67
910,148,0,0,11,62
910,152,0,0,21,66
698,154,0,0,15,61
542,158,0,0,11,45
796,156,0,2,4,10
948,158,-2,0,10,37
802,160,0,0,2,13
290,162,0,0,16,113
358,162,-2,0,5,49
850,162,0,0,19,74
332,164,0,0,21,96
794,186,0,-22,7,9
300,166,0,0,10,79
486,166,0,0,14,60
1024,166,0,0,7,45
182,168,0,0,16,85
262,168,0,0,8,57
338,168,-2,0,21,77
670,168,0,0,9,50
920,168,0,0,15,73
214,170,-2,0,19,62
686,170,-2,0,8,29
940,170,0,0,8,39
948,172,-2,0,17,44
986,172,-2,0,15,43
422,176,-2,-2,22,110
736,174,0,0,3,16
124,174,0,2,7,32
226,174,0,2,12,52
458,176,-2,0,22,60
588,176,0,0,10,50
684,176,-2,0,5,30
750,176,0,0,3,21
276,178,-2,0,13,51
556,178,0,0,9,59
744,178,-2,0,6,15
884,178,-2,0,21,64
388,178,2,2,21,97
228,182,0,0,11,73
542,182,-2,0,8,48
822,180,0,2,7,17
996,182,-2,0,15,52
134,184,0,0,9,80
1026,184,0,0,7,43
684,176,-28,10,21,28
794,186,0,0,2,4
460,188,-2,0,23,54
990,188,-2,0,14,93
126,190,-2,0,9,38
434,190,0,0,13,71
538,190,-2,0,15,117
822,180,0,10,15,20
620,192,-2,0,13,23
906,192,-2,0,16,58
1030,192,-2,0,2,17
244,194,-2,0,11,42
644,194,0,0,11,35
280,196,-2,0,19,84
294,194,0,2,22,61
784,172,-12,24,6,13
1030,196,0,0,3,12
846,200,0,0,5,25
284,204,0,0,18,92
818,220,8,-14,15,24
332,208,2,0,7,62
448,208,0,2,17,45
722,224,26,-14,4,8
1002,210,0,0,5,54
492,216,6,-4,7,12
740,210,0,2,3,4
1008,212,0,0,7,43
166,214,-2,0,23,92
492,216,-8,-2,7,10
918,214,0,0,6,79
130,216,0,0,12,52
386,218,-2,0,9,25
554,220,0,-2,5,22
634,220,-2,-2,5,11
818,220,0,-2,4,17
372,218,2,2,17,23
446,218,0,2,15,36
474,220,0,0,3,8
542,220,-2,0,4,21
548,220,0,0,3,22
710,230,0,-10,4,6
894,220,0,0,21,65
316,222,0,0,5,58
470,224,-2,-2,5,13
696,224,-2,-2,6,19
160,224,0,0,5,64
408,222,-2,2,16,61
592,248,-14,-24,19,24
648,224,0,0,8,24
558,226,0,0,4,21
688,226,0,0,8,25
722,224,0,2,3,5
798,202,20,24,8,11
974,228,-4,-2,23,30
498,228,0,0,0,7
470,224,10,6,8,11
616,230,0,0,3,11
672,230,0,0,12,35
710,230,-2,0,3,6
1004,230,0,0,9,52
112,232,0,0,3,48
746,232,-2,0,4,16
764,228,4,4,12,27
980,232,0,0,9,31
1014,232,0,0,8,46
1070,236,0,-2,19,46
222,240,0,0,4,91
624,240,-2,0,2,11
564,244,0,0,4,15
842,244,-2,0,7,12
1038,246,0,0,8,57
278,248,-2,0,10,107
320,248,0,0,1,14
526,248,0,0,5,20
592,248,0,0,1,10
598,250,0,-2,5,14
396,250,0,0,5,10
332,254,0,-2,1,10
390,252,-2,0,3,11
240,254,-2,0,1,38
372,254,-2,0,10,27
530,254,0,0,3,22
886,254,2,0,15,29
930,254,-2,0,17,35
320,256,0,0,3,15
382,256,-4,0,4,13
922,256,0,0,9,22
1068,256,0,0,13,40
474,244,-6,14,13,19
986,258,0,0,20,94
370,260,-2,0,2,10
458,258,0,2,8,10
820,260,0,0,5,30
226,262,0,0,3,20
454,244,-26,18,7,9
540,264,-2,-2,13,27
892,264,-2,-2,13,20
952,262,0,0,15,32
192,266,0,-2,13,32
266,264,0,0,5,90
546,264,0,0,10,27
1046,266,0,-2,16,34
552,264,0,2,10,26
642,266,0,0,4,21
214,268,0,0,0,19
328,268,0,0,4,9
362,298,-20,-30,6,8
872,268,0,0,2,7
620,270,0,0,6,13
852,270,-2,2,3,8
946,272,0,0,8,29
120,276,0,0,3,29
202,276,0,0,2,26
852,276,0,0,2,9
114,278,0,0,3,29
420,280,0,-2,2,7
1024,280,0,-2,21,41
130,284,0,0,2,41
392,282,0,2,4,5
1056,284,0,0,5,28
1064,286,0,0,3,47
136,288,0,0,3,30
292,292,0,-4,4,6
396,288,-2,0,2,11
136,288,-8,2,21,36
170,290,0,0,7,58
360,292,0,-2,4,8
1072,290,0,0,9,62
104,292,0,0,4,60
332,260,-30,32,6,9
292,292,0,2,5,16
1038,296,0,0,5,73
618,298,0,0,9,82
878,300,-2,-2,6,26
930,298,-30,0,12,15
238,300,0,0,7,54
1034,300,0,0,5,36
898,310,6,-8,14,23
704,304,0,0,7,16
1020,304,4,0,21,46
148,306,0,0,3,30
222,304,-2,2,21,46
284,306,-2,0,4,10
734,308,0,-2,0,11
754,306,-2,0,3,12
846,306,2,0,16,46
254,308,0,0,12,56
518,312,0,-4,10,13
570,308,0,0,11,91
720,310,0,-2,2,20
992,308,0,0,10,58
442,324,-26,-14,15,20
856,310,0,0,5,55
152,312,0,0,3,31
166,312,-2,0,12,28
