# x, y, dx, dy, 1st best, 2nd best
128,24,0,0,7,84
900,26,0,0,4,56
1032,26,0,0,2,46
176,28,0,0,15,74
548,26,0,2,14,75
816,28,0,0,3,32
264,30,0,0,7,28
884,30,0,0,5,46
958,30,0,0,12,50
1022,30,0,0,7,67
1036,30,0,0,6,46
128,32,0,0,12,124
970,32,0,0,4,121
1032,34,0,0,6,70
974,36,0,0,10,82
118,38,0,0,2,75
364,38,0,0,11,105
370,38,0,0,7,66
408,36,0,2,10,133
458,40,0,0,12,45
500,38,0,2,22,46
142,42,2,0,15,27
618,44,0,0,6,90
676,44,0,0,18,77
706,44,0,0,11,107
900,44,0,0,3,50
932,44,0,0,10,46
540,44,0,2,23,63
606,46,0,0,9,81
860,46,0,0,2,28
1000,46,0,0,6,78
824,36,2,12,16,20
280,50,0,0,9,41
442,50,0,0,5,46
448,48,0,2,19,38
460,50,0,0,5,87
742,50,0,0,10,81
292,52,0,0,12,41
656,52,0,0,12,90
998,52,0,0,7,81
1062,52,0,0,9,57
324,54,0,0,10,99
398,52,0,2,14,42
686,54,0,0,12,71
538,58,0,0,5,56
166,60,0,0,8,59
236,60,0,0,7,66
890,60,0,0,3,41
932,60,0,0,2,48
204,62,0,0,12,71
494,62,0,0,18,54
752,62,0,0,13,114
770,62,0,0,11,58
230,66,0,0,9,89
358,66,0,0,14,66
446,66,0,0,22,87
708,66,0,0,5,80
284,68,0,0,6,78
168,70,0,0,9,56
324,68,0,2,21,62
450,70,0,0,4,45
538,70,0,0,10,59
544,68,0,2,18,72
884,70,0,0,3,41
306,72,0,0,7,56
860,72,0,0,6,56
942,74,2,-2,14,69
1028,72,0,0,4,52
616,72,0,2,16,67
114,76,0,0,8,76
820,76,0,0,5,32
234,78,0,0,7,89
394,78,0,0,10,55
744,78,0,0,6,36
194,80,0,0,8,53
1022,80,0,0,2,46
212,80,0,2,20,56
272,84,0,0,12,80
740,84,0,0,7,69
838,84,0,0,1,28
942,84,0,0,4,69
668,86,0,0,8,61
680,88,0,0,5,91
1012,90,0,0,2,55
430,92,-2,0,21,99
916,96,0,0,6,46
978,96,0,0,2,38
324,98,0,0,7,52
516,98,0,0,16,114
1044,98,0,0,4,75
586,98,0,2,11,67
1008,100,0,0,8,98
406,102,0,0,15,58
612,104,0,0,11,74
676,104,0,0,12,106
172,104,0,2,22,71
446,106,0,0,19,58
558,106,0,0,19,67
510,108,0,0,10,62
864,108,0,0,9,61
260,112,0,0,11,61
194,112,0,2,13,66
558,114,0,0,12,78
718,114,0,0,7,46
306,116,0,0,7,63
470,118,0,0,11,89
666,118,0,0,13,79
970,118,0,0,5,69
964,120,0,0,3,65
148,122,0,0,7,53
306,122,0,0,8,74
772,122,0,0,8,44
1026,122,0,0,5,27
544,124,0,0,18,80
894,124,0,0,3,80
266,124,0,2,23,43
366,126,0,0,15,111
746,128,0,-2,17,60
802,126,-2,0,22,79
230,128,-2,0,17,56
362,128,0,0,12,97
372,130,0,0,15,94
594,130,0,0,8,125
640,130,0,0,12,117
698,128,0,2,13,48
1062,130,0,0,16,73
856,132,0,0,6,33
486,134,0,0,1,71
174,136,0,0,4,56
316,136,0,0,13,65
660,136,0,0,5,47
1014,138,0,-2,23,38
166,138,0,0,8,74
244,138,0,0,5,51
274,138,-2,0,13,85
490,138,0,0,7,68
548,136,0,2,12,79
716,138,0,0,5,48
960,138,0,0,11,47
972,138,0,0,6,72
1028,140,0,0,7,27
394,142,0,0,21,90
472,142,0,0,7,79
884,144,0,0,9,80
864,146,0,0,3,40
920,146,-2,0,7,46
194,148,0,0,6,87
992,148,0,0,3,113
128,150,0,0,4,22
302,150,-2,0,12,90
144,152,0,0,5,42
348,152,-2,0,10,33
636,152,0,0,7,48
832,152,0,0,6,79
1002,152,0,0,1,33
128,154,0,0,7,17
646,156,0,0,5,56
756,152,-2,6,11,16
924,158,0,0,8,47
196,160,0,0,8,77
730,158,0,2,20,56
776,160,-6,0,10,14
786,158,-2,2,5,16
936,158,0,2,18,42
152,162,0,0,7,84
358,162,0,0,8,60
790,162,0,0,3,20
130,164,0,0,2,32
654,166,0,0,8,72
1016,166,0,0,1,24
386,172,0,0,8,68
976,172,-2,0,12,44
200,174,0,0,4,43
894,176,0,0,5,44
1030,176,0,0,2,45
286,176,0,2,20,81
470,178,0,0,9,55
748,196,2,-18,16,21
322,180,0,0,8,76
580,180,0,0,7,55
720,180,-2,0,11,16
712,182,0,0,3,30
742,182,0,0,2,15
716,208,-22,-24,21,27
808,184,2,0,8,13
894,184,0,0,5,57
922,184,-2,0,16,53
442,186,0,0,12,55
544,186,0,0,10,50
572,186,0,0,8,52
946,186,0,0,2,62
1016,186,0,0,0,32
118,188,0,0,4,49
262,188,-2,0,19,53
578,188,0,0,3,64
976,188,0,0,5,97
852,190,0,0,6,85
124,192,0,0,8,53
496,192,2,0,16,25
510,192,0,0,6,35
294,194,0,0,8,67
722,224,2,-30,16,20
988,194,0,0,3,54
376,196,0,0,18,73
1022,196,0,0,2,34
502,198,0,0,4,38
644,198,0,0,4,38
1050,198,0,0,1,54
196,200,0,0,17,104
632,198,0,2,22,34
988,200,0,0,2,46
180,202,0,0,19,98
836,202,0,0,3,18
572,204,0,0,4,30
176,206,0,0,3,62
234,210,0,0,8,45
816,208,0,2,5,15
994,210,0,0,7,68
1064,210,0,0,1,56
266,214,0,0,11,82
398,216,0,0,8,24
908,216,0,0,8,48
112,218,0,0,2,56
432,218,0,0,2,34
646,216,0,2,9,31
800,218,-2,0,3,16
130,220,0,0,4,45
142,220,0,0,12,121
366,218,0,2,15,30
512,220,0,0,2,7
740,220,6,0,12,22
334,224,4,-2,14,20
714,228,-8,-6,3,7
256,224,0,0,13,67
548,222,0,2,10,22
604,236,16,-12,12,17
956,224,0,0,7,42
1056,224,0,0,1,94
464,226,0,0,2,7
534,226,0,0,1,20
248,228,0,0,11,63
374,228,0,0,5,30
714,228,-4,0,1,5
266,230,0,0,17,68
530,230,0,0,3,11
684,226,0,4,4,15
166,232,0,0,9,73
152,234,0,0,13,79
