# x, y, dx, dy, 1st best, 2nd best
700,24,0,0,18,63
830,24,-2,0,23,77
262,28,0,0,14,83
626,28,0,0,10,52
224,30,0,0,9,85
412,30,0,0,15,55
880,32,0,-2,20,55
922,30,0,0,12,44
1012,30,0,0,13,96
554,32,0,0,13,47
874,34,0,0,9,52
722,36,0,0,8,50
732,36,0,0,9,55
796,36,0,0,17,98
472,38,-2,0,5,57
914,38,-2,0,13,39
320,40,-2,0,14,53
862,40,0,0,16,68
224,42,0,0,14,114
296,42,-2,0,6,52
242,44,2,0,10,29
398,44,0,2,13,47
516,44,0,2,19,39
374,50,-2,-2,23,84
512,48,0,2,13,52
758,50,0,0,12,76
330,50,0,2,22,85
1080,54,0,-2,21,64
658,58,-2,-2,23,66
640,58,0,0,11,55
896,62,0,-2,9,29
932,60,-2,0,21,63
420,62,-2,0,18,38
974,62,0,0,15,56
700,64,0,0,19,77
278,66,-2,0,10,47
284,66,-2,0,7,34
900,66,0,0,13,28
382,68,-2,0,10,41
478,68,-2,0,22,68
506,70,-2,0,20,79
896,70,0,0,4,20
394,74,0,0,11,49
454,74,-2,0,17,64
718,74,0,0,11,95
902,74,-2,0,13,30
1048,74,-2,0,14,79
212,76,0,0,21,93
572,76,0,0,18,75
248,80,-2,0,22,84
502,80,-2,0,18,66
534,80,-2,0,21,43
1086,80,0,0,14,77
592,82,-2,0,17,80
644,82,-2,0,13,62
1020,82,-2,0,14,62
436,84,0,0,18,47
756,84,0,0,7,94
1094,84,0,0,11,76
226,86,0,0,19,75
972,86,-2,0,17,33
340,88,0,0,11,73
774,88,0,0,20,93
1008,88,-2,0,22,55
552,90,0,0,15,41
708,90,0,0,13,89
1072,90,0,0,13,73
1096,90,0,0,13,59
936,92,0,0,5,25
968,92,-2,0,17,27
428,94,-2,2,21,60
772,96,0,0,15,97
958,98,0,-2,20,48
618,98,-2,0,22,62
826,98,0,0,16,98
866,100,0,-2,20,69
966,98,-2,0,21,58
276,100,0,0,18,70
430,100,0,0,14,40
1096,104,0,-2,19,73
404,104,-2,0,21,47
892,104,0,0,7,19
928,106,0,0,10,38
960,106,0,0,14,33
1004,108,0,-2,19,56
476,108,-2,0,22,94
546,106,0,2,15,63
962,110,0,0,8,45
368,112,0,0,12,100
838,116,0,-2,18,60
254,114,0,2,19,50
362,116,0,0,16,66
602,118,0,0,21,100
766,118,0,0,17,105
1012,122,0,-4,19,32
546,118,0,2,19,69
1092,122,0,-2,18,39
408,124,-2,0,15,59
452,126,0,0,20,100
672,126,0,0,13,53
1028,128,0,-2,21,64
404,130,-2,0,15,51
880,130,0,0,4,66
928,130,0,0,6,37
608,132,0,0,23,101
952,132,0,0,11,81
770,136,0,0,18,68
732,138,0,0,9,110
310,140,0,0,7,85
746,140,0,0,6,104
946,140,0,0,9,45
1018,138,-2,2,8,31
846,144,0,0,4,42
1038,144,-2,0,7,26
498,146,-2,0,15,74
686,148,-2,0,22,108
248,150,0,0,17,78
472,150,0,0,12,65
1072,150,0,0,17,109
680,152,0,0,20,79
984,152,0,0,13,58
222,158,2,-4,23,60
402,154,-2,0,11,84
660,154,0,0,20,68
222,158,0,0,7,43
258,156,0,2,5,72
980,158,0,0,13,62
928,160,0,0,15,59
244,162,0,0,15,68
252,160,0,2,23,74
382,162,-2,0,14,71
418,162,0,0,10,40
454,162,0,0,18,38
856,162,0,0,6,50
1018,162,-2,0,17,69
376,164,-2,0,15,41
788,164,0,0,8,70
982,164,-2,0,15,83
1036,164,0,0,15,47
1098,164,0,0,9,82
434,166,-2,0,3,35
688,168,0,0,12,111
928,168,0,0,3,51
736,170,0,0,13,46
