x_data,y_data,time
800,-280,2022-05-27 13:07:34.089826
800,-290,2022-05-27 13:07:34.121828
800,-300,2022-05-27 13:07:34.153839
800,-310,2022-05-27 13:07:34.186845
800,-320,2022-05-27 13:07:34.217852
800,-330,2022-05-27 13:07:34.249859
800,-340,2022-05-27 13:07:34.281864
800,-350,2022-05-27 13:07:34.313872
800,-360,2022-05-27 13:07:34.344878
800,-370,2022-05-27 13:07:34.376885
800,-380,2022-05-27 13:07:34.408893
800,-390,2022-05-27 13:07:34.440900
800,-400,2022-05-27 13:07:34.472909
800,-410,2022-05-27 13:07:34.504915
800,-420,2022-05-27 13:07:34.536924
800,-430,2022-05-27 13:07:34.568928
800,-440,2022-05-27 13:07:34.600937
800,-450,2022-05-27 13:07:34.632944
800,-460,2022-05-27 13:07:34.665951
800,-470,2022-05-27 13:07:34.696959
800,-480,2022-05-27 13:07:34.728965
800,-490,2022-05-27 13:07:34.760986
800,-500,2022-05-27 13:07:34.792994
790,-500,2022-05-27 13:07:34.824986
780,-500,2022-05-27 13:07:34.856995
770,-500,2022-05-27 13:07:34.889003
760,-500,2022-05-27 13:07:34.921022
750,-500,2022-05-27 13:07:34.953017
740,-500,2022-05-27 13:07:34.984045
730,-500,2022-05-27 13:07:35.016031
720,-500,2022-05-27 13:07:35.048036
710,-500,2022-05-27 13:07:35.080043
700,-500,2022-05-27 13:07:35.112065
690,-500,2022-05-27 13:07:35.144059
680,-500,2022-05-27 13:07:35.176081
670,-500,2022-05-27 13:07:35.208086
660,-500,2022-05-27 13:07:35.240094
650,-500,2022-05-27 13:07:35.272094
640,-500,2022-05-27 13:07:35.304094
630,-500,2022-05-27 13:07:35.336109
620,-500,2022-05-27 13:07:35.367108
610,-500,2022-05-27 13:07:35.399115
600,-500,2022-05-27 13:07:35.431122
590,-500,2022-05-27 13:07:35.463131
580,-500,2022-05-27 13:07:35.496137
570,-500,2022-05-27 13:07:35.526830
560,-500,2022-05-27 13:07:35.558838
550,-500,2022-05-27 13:07:35.590866
540,-500,2022-05-27 13:07:35.622854
530,-500,2022-05-27 13:07:35.654859
520,-500,2022-05-27 13:07:35.687869
510,-500,2022-05-27 13:07:35.717899
500,-500,2022-05-27 13:07:35.748881
490,-500,2022-05-27 13:07:35.780888
480,-500,2022-05-27 13:07:35.812903
470,-500,2022-05-27 13:07:35.844902
460,-500,2022-05-27 13:07:35.877921
450,-500,2022-05-27 13:07:35.908916
440,-500,2022-05-27 13:07:35.940924
430,-500,2022-05-27 13:07:35.972930
420,-500,2022-05-27 13:07:36.004938
410,-500,2022-05-27 13:07:36.036943
400,-500,2022-05-27 13:07:36.068952
390,-500,2022-05-27 13:07:36.100959
380,-500,2022-05-27 13:07:36.132963
370,-500,2022-05-27 13:07:36.164984
360,-500,2022-05-27 13:07:36.196981
350,-500,2022-05-27 13:07:36.229019
340,-500,2022-05-27 13:07:36.261009
330,-500,2022-05-27 13:07:36.293003
320,-500,2022-05-27 13:07:36.324023
310,-500,2022-05-27 13:07:36.357015
300,-500,2022-05-27 13:07:36.389026
290,-500,2022-05-27 13:07:36.421034
280,-500,2022-05-27 13:07:36.453035
270,-500,2022-05-27 13:07:36.485044
260,-500,2022-05-27 13:07:36.516052
250,-500,2022-05-27 13:07:36.548061
240,-500,2022-05-27 13:07:36.580071
230,-500,2022-05-27 13:07:36.612076
220,-500,2022-05-27 13:07:36.644081
210,-500,2022-05-27 13:07:36.675089
200,-500,2022-05-27 13:07:36.707100
190,-500,2022-05-27 13:07:36.738268
180,-500,2022-05-27 13:07:36.770273
170,-500,2022-05-27 13:07:36.802282
160,-500,2022-05-27 13:07:36.834288
150,-500,2022-05-27 13:07:36.866296
140,-500,2022-05-27 13:07:36.898304
130,-500,2022-05-27 13:07:36.930325
120,-500,2022-05-27 13:07:36.962347
110,-500,2022-05-27 13:07:36.994323
100,-500,2022-05-27 13:07:37.027336
90,-500,2022-05-27 13:07:37.058338
80,-500,2022-05-27 13:07:37.090369
70,-500,2022-05-27 13:07:37.122349
60,-500,2022-05-27 13:07:37.154381
50,-500,2022-05-27 13:07:37.186392
40,-500,2022-05-27 13:07:37.218375
30,-500,2022-05-27 13:07:37.249385
20,-500,2022-05-27 13:07:37.281390
10,-500,2022-05-27 13:07:37.313396
0,-500,2022-05-27 13:07:37.345413
-10,-500,2022-05-27 13:07:37.377429
-20,-500,2022-05-27 13:07:37.409426
-30,-500,2022-05-27 13:07:37.441424
-40,-500,2022-05-27 13:07:37.473431
-50,-500,2022-05-27 13:07:37.504439
-60,-500,2022-05-27 13:07:37.536444
-70,-500,2022-05-27 13:07:37.568452
-80,-500,2022-05-27 13:07:37.600461
-90,-500,2022-05-27 13:07:37.632469
-100,-500,2022-05-27 13:07:37.664473
-110,-500,2022-05-27 13:07:37.695480
-120,-500,2022-05-27 13:07:37.727489
-130,-500,2022-05-27 13:07:37.759495
-140,-500,2022-05-27 13:07:37.791505
-150,-500,2022-05-27 13:07:37.823511
-160,-500,2022-05-27 13:07:37.855516
-170,-500,2022-05-27 13:07:37.887523
-180,-500,2022-05-27 13:07:37.919537
-190,-500,2022-05-27 13:07:37.951555
-200,-500,2022-05-27 13:07:37.983546
-210,-500,2022-05-27 13:07:38.015577
-220,-500,2022-05-27 13:07:38.047558
-230,-500,2022-05-27 13:07:38.079570
-240,-500,2022-05-27 13:07:38.112575
-250,-500,2022-05-27 13:07:38.143583
-260,-500,2022-05-27 13:07:38.175593
-270,-500,2022-05-27 13:07:38.207599
-280,-500,2022-05-27 13:07:38.239603
-290,-500,2022-05-27 13:07:38.271613
-300,-500,2022-05-27 13:07:38.303618
-310,-500,2022-05-27 13:07:38.335626
-320,-500,2022-05-27 13:07:38.367293
-330,-500,2022-05-27 13:07:38.399300
-340,-500,2022-05-27 13:07:38.431308
-350,-500,2022-05-27 13:07:38.463311
-360,-500,2022-05-27 13:07:38.495321
-370,-500,2022-05-27 13:07:38.526341
-380,-500,2022-05-27 13:07:38.558335
-390,-500,2022-05-27 13:07:38.591342
-400,-500,2022-05-27 13:07:38.622347
-410,-500,2022-05-27 13:07:38.654357
-420,-500,2022-05-27 13:07:38.686364
-430,-500,2022-05-27 13:07:38.718376
-440,-500,2022-05-27 13:07:38.749825
-450,-500,2022-05-27 13:07:38.782825
-460,-500,2022-05-27 13:07:38.812832
-470,-500,2022-05-27 13:07:38.845844
-480,-500,2022-05-27 13:07:38.877842
-490,-500,2022-05-27 13:07:38.909862
-500,-500,2022-05-27 13:07:38.941857
-510,-500,2022-05-27 13:07:38.973869
-520,-500,2022-05-27 13:07:39.005869
-530,-500,2022-05-27 13:07:39.037875
-540,-500,2022-05-27 13:07:39.069897
-550,-500,2022-05-27 13:07:39.101907
-560,-500,2022-05-27 13:07:39.134910
-570,-500,2022-05-27 13:07:39.165904
-580,-500,2022-05-27 13:07:39.197914
-590,-500,2022-05-27 13:07:39.229918
-600,-500,2022-05-27 13:07:39.261930
-610,-500,2022-05-27 13:07:39.293934
-620,-500,2022-05-27 13:07:39.325949
-630,-500,2022-05-27 13:07:39.357965
-640,-500,2022-05-27 13:07:39.389963
-650,-500,2022-05-27 13:07:39.421964
-660,-500,2022-05-27 13:07:39.453976
-670,-500,2022-05-27 13:07:39.486976
-680,-500,2022-05-27 13:07:39.517997
-690,-500,2022-05-27 13:07:39.549005
-700,-500,2022-05-27 13:07:39.580998
-710,-500,2022-05-27 13:07:39.612033
-720,-500,2022-05-27 13:07:39.643286
-730,-500,2022-05-27 13:07:39.675291
-740,-500,2022-05-27 13:07:39.706609
-750,-500,2022-05-27 13:07:39.738619
-760,-500,2022-05-27 13:07:39.770623
-770,-500,2022-05-27 13:07:39.802630
-780,-500,2022-05-27 13:07:39.834650
-790,-500,2022-05-27 13:07:39.866653
-800,-500,2022-05-27 13:07:39.898661
-800,-490,2022-05-27 13:07:39.930671
-800,-480,2022-05-27 13:07:39.962676
-800,-470,2022-05-27 13:07:39.994683
-800,-460,2022-05-27 13:07:40.026693
-800,-450,2022-05-27 13:07:40.058697
-800,-440,2022-05-27 13:07:40.090705
-800,-430,2022-05-27 13:07:40.122714
-800,-420,2022-05-27 13:07:40.154725
-800,-410,2022-05-27 13:07:40.185726
-800,-400,2022-05-27 13:07:40.217734
-800,-390,2022-05-27 13:07:40.249743
-800,-380,2022-05-27 13:07:40.281746
-800,-370,2022-05-27 13:07:40.313756
-800,-360,2022-05-27 13:07:40.345762
-800,-350,2022-05-27 13:07:40.377768
-800,-340,2022-05-27 13:07:40.409776
-800,-330,2022-05-27 13:07:40.441786
-800,-320,2022-05-27 13:07:40.473789
-800,-310,2022-05-27 13:07:40.506798
-800,-300,2022-05-27 13:07:40.537727
-800,-290,2022-05-27 13:07:40.568733
-800,-280,2022-05-27 13:07:40.600253
-800,-270,2022-05-27 13:07:40.632260
-800,-260,2022-05-27 13:07:40.664276
-800,-250,2022-05-27 13:07:40.696274
-800,-240,2022-05-27 13:07:40.727828
-800,-230,2022-05-27 13:07:40.759844
-800,-220,2022-05-27 13:07:40.791063
-800,-210,2022-05-27 13:07:40.822067
-800,-200,2022-05-27 13:07:40.854073
-800,-190,2022-05-27 13:07:40.886080
-800,-180,2022-05-27 13:07:40.918088
-800,-170,2022-05-27 13:07:40.950096
-800,-160,2022-05-27 13:07:40.982102
-800,-150,2022-05-27 13:07:41.014109
-800,-140,2022-05-27 13:07:41.047122
-800,-130,2022-05-27 13:07:41.078124
-800,-120,2022-05-27 13:07:41.110130
-800,-110,2022-05-27 13:07:41.142137
-800,-100,2022-05-27 13:07:41.174147
-800,-90,2022-05-27 13:07:41.206152
-800,-80,2022-05-27 13:07:41.238172
-800,-70,2022-05-27 13:07:41.270168
-800,-60,2022-05-27 13:07:41.302173
-800,-50,2022-05-27 13:07:41.334182
-800,-40,2022-05-27 13:07:41.366188
-800,-30,2022-05-27 13:07:41.398197
-800,-20,2022-05-27 13:07:41.430209
-800,-10,2022-05-27 13:07:41.462210
-800,0,2022-05-27 13:07:41.494217
-800,10,2022-05-27 13:07:41.526237
-800,20,2022-05-27 13:07:41.557871
-800,30,2022-05-27 13:07:41.588875
-800,40,2022-05-27 13:07:41.620606
-800,50,2022-05-27 13:07:41.652620
-800,60,2022-05-27 13:07:41.684624
-800,70,2022-05-27 13:07:41.716627
-800,80,2022-05-27 13:07:41.747853
-800,90,2022-05-27 13:07:41.779859
-800,100,2022-05-27 13:07:41.811200
-800,110,2022-05-27 13:07:41.842205
-800,120,2022-05-27 13:07:41.874213
-800,130,2022-05-27 13:07:41.906222
-800,140,2022-05-27 13:07:41.938228
-800,150,2022-05-27 13:07:41.970254
-800,160,2022-05-27 13:07:42.002242
-800,170,2022-05-27 13:07:42.034249
-800,180,2022-05-27 13:07:42.066257
-800,190,2022-05-27 13:07:42.098263
-800,200,2022-05-27 13:07:42.130278
-800,210,2022-05-27 13:07:42.162279
-800,220,2022-05-27 13:07:42.194314
-800,230,2022-05-27 13:07:42.226296
-800,240,2022-05-27 13:07:42.258323
-800,250,2022-05-27 13:07:42.290309
-800,260,2022-05-27 13:07:42.322327
-800,270,2022-05-27 13:07:42.353347
-800,280,2022-05-27 13:07:42.385360
-800,290,2022-05-27 13:07:42.417356
-800,300,2022-05-27 13:07:42.449369
-800,310,2022-05-27 13:07:42.481381
-800,320,2022-05-27 13:07:42.513384
-800,330,2022-05-27 13:07:42.545385
-800,340,2022-05-27 13:07:42.577202
-800,350,2022-05-27 13:07:42.608209
-800,360,2022-05-27 13:07:42.640204
-800,370,2022-05-27 13:07:42.671223
-800,380,2022-05-27 13:07:42.703221
-800,390,2022-05-27 13:07:42.735226
-800,400,2022-05-27 13:07:42.766510
-800,410,2022-05-27 13:07:42.798535
-800,420,2022-05-27 13:07:42.830370
-800,430,2022-05-27 13:07:42.863374
-800,440,2022-05-27 13:07:42.893382
-800,450,2022-05-27 13:07:42.925402
-800,460,2022-05-27 13:07:42.957394
-800,470,2022-05-27 13:07:42.989416
-800,480,2022-05-27 13:07:43.021410
-800,490,2022-05-27 13:07:43.052431
-800,500,2022-05-27 13:07:43.084440
-790,500,2022-05-27 13:07:43.116436
-780,500,2022-05-27 13:07:43.148442
-770,500,2022-05-27 13:07:43.181446
-760,500,2022-05-27 13:07:43.212453
-750,500,2022-05-27 13:07:43.245473
-740,500,2022-05-27 13:07:43.276476
-730,500,2022-05-27 13:07:43.308475
-720,500,2022-05-27 13:07:43.339483
-710,500,2022-05-27 13:07:43.371504
-700,500,2022-05-27 13:07:43.403497
-690,500,2022-05-27 13:07:43.435504
-680,500,2022-05-27 13:07:43.467510
-670,500,2022-05-27 13:07:43.499206
-660,500,2022-05-27 13:07:43.531333
-650,500,2022-05-27 13:07:43.563338
-640,500,2022-05-27 13:07:43.593346
-630,500,2022-05-27 13:07:43.624353
-620,500,2022-05-27 13:07:43.656359
-610,500,2022-05-27 13:07:43.688367
-600,500,2022-05-27 13:07:43.720373
-590,500,2022-05-27 13:07:43.752383
-580,500,2022-05-27 13:07:43.784388
-570,500,2022-05-27 13:07:43.816408
-560,500,2022-05-27 13:07:43.848405
-550,500,2022-05-27 13:07:43.880411
-540,500,2022-05-27 13:07:43.912416
-530,500,2022-05-27 13:07:43.944425
-520,500,2022-05-27 13:07:43.976431
-510,500,2022-05-27 13:07:44.008438
-500,500,2022-05-27 13:07:44.040447
-490,500,2022-05-27 13:07:44.072453
-480,500,2022-05-27 13:07:44.103615
-470,500,2022-05-27 13:07:44.135624
-460,500,2022-05-27 13:07:44.167629
-450,500,2022-05-27 13:07:44.199637
-440,500,2022-05-27 13:07:44.231645
-430,500,2022-05-27 13:07:44.263650
-420,500,2022-05-27 13:07:44.295660
-410,500,2022-05-27 13:07:44.327666
-400,500,2022-05-27 13:07:44.358855
-390,500,2022-05-27 13:07:44.390860
-380,500,2022-05-27 13:07:44.422868
-370,500,2022-05-27 13:07:44.454874
-360,500,2022-05-27 13:07:44.487882
-350,500,2022-05-27 13:07:44.518426
-340,500,2022-05-27 13:07:44.550428
-330,500,2022-05-27 13:07:44.582440
-320,500,2022-05-27 13:07:44.615435
-310,500,2022-05-27 13:07:44.645893
-300,500,2022-05-27 13:07:44.676894
-290,500,2022-05-27 13:07:44.706900
-280,500,2022-05-27 13:07:44.739927
-270,500,2022-05-27 13:07:44.771909
-260,500,2022-05-27 13:07:44.803928
-250,500,2022-05-27 13:07:44.834877
-240,500,2022-05-27 13:07:44.867900
-230,500,2022-05-27 13:07:44.898873
-220,500,2022-05-27 13:07:44.931030
-210,500,2022-05-27 13:07:44.963052
-200,500,2022-05-27 13:07:44.995042
-190,500,2022-05-27 13:07:45.027052
-180,500,2022-05-27 13:07:45.059082
-170,500,2022-05-27 13:07:45.091067
-160,500,2022-05-27 13:07:45.123073
-150,500,2022-05-27 13:07:45.155077
-140,500,2022-05-27 13:07:45.187089
-130,500,2022-05-27 13:07:45.219092
-120,500,2022-05-27 13:07:45.250108
-110,500,2022-05-27 13:07:45.283112
-100,500,2022-05-27 13:07:45.314109
-90,500,2022-05-27 13:07:45.347142
-80,500,2022-05-27 13:07:45.379143
-70,500,2022-05-27 13:07:45.411156
-60,500,2022-05-27 13:07:45.443142
-50,500,2022-05-27 13:07:45.475161
-40,500,2022-05-27 13:07:45.507169
-30,500,2022-05-27 13:07:45.539178
-20,500,2022-05-27 13:07:45.571183
