x_data,y_data,time
450.0,0.0,2022-05-27 13:11:34.267748
450.0,0.0,2022-05-27 13:11:34.282744
450.0,0.0,2022-05-27 13:11:34.345761
449.9800298339445,4.239428103219768,2022-05-27 13:11:34.369723
449.9201211082561,8.478479930514197,2022-05-27 13:11:34.387726
449.82027914021114,12.716779239354802,2022-05-27 13:11:34.409732
449.68051279141275,16.95394985400385,2022-05-27 13:11:34.432745
449.50083446700387,21.18961569890232,2022-05-27 13:11:34.453742
449.28126011456675,25.423400832048976,2022-05-27 13:11:34.471752
449.02180922270696,29.654929478367592,2022-05-27 13:11:34.494763
448.7225048193241,33.883826063059324,2022-05-27 13:11:34.514762
448.3833734695677,38.10971524493741,2022-05-27 13:11:34.536762
448.00444527347923,42.33222194974097,2022-05-27 13:11:34.555766
447.58575386332114,46.55097140342528,2022-05-27 13:11:34.574782
447.127336400591,50.76558916542528,2022-05-27 13:11:34.591785
446.6292335727237,54.97570116188957,2022-05-27 13:11:34.609803
446.0914895894802,59.180933718881775,2022-05-27 13:11:34.627809
445.5141521790232,63.3809135955465,2022-05-27 13:11:34.646810
444.8972725836815,67.5752680172368,2022-05-27 13:11:34.662801
444.2409055554015,71.76362470860022,2022-05-27 13:11:34.681806
443.5451093508879,75.94561192662066,2022-05-27 13:11:34.699810
442.80994572643294,80.12085849361284,2022-05-27 13:11:34.719809
442.03547993243495,84.28899383016669,2022-05-27 13:11:34.735817
441.2217807076075,88.44964798803862,2022-05-27 13:11:34.753815
440.3689202728777,92.6024516829867,2022-05-27 13:11:34.774827
439.4769743249768,96.747036327547,2022-05-27 13:11:34.790830
438.54602202972114,100.88303406374803,2022-05-27 13:11:34.806833
437.576146014986,105.0100777957605,2022-05-27 13:11:34.828989
436.5674323633716,109.12780122247926,2022-05-27 13:11:34.847005
435.519970604563,113.23583887003502,2022-05-27 13:11:34.867001
434.43385370738366,117.3338261242323,2022-05-27 13:11:34.885014
433.3091780715436,121.42139926291125,2022-05-27 13:11:34.903017
432.1460435190839,125.49819548823035,2022-05-27 13:11:34.924029
430.9445532855162,129.56385295886696,2022-05-27 13:11:34.940020
429.7048140106605,133.61801082213304,2022-05-27 13:11:34.957024
428.42693572917983,137.66030924600304,2022-05-27 13:11:34.977035
427.1110318608142,141.69038945105135,2022-05-27 13:11:34.994038
425.75721920031344,145.70789374229605,2022-05-27 13:11:35.011042
424.36561790707174,149.7124655409469,2022-05-27 13:11:35.030040
422.93635149446186,153.70374941605365,2022-05-27 13:11:35.049048
421.4695468188732,157.68139111605294,2022-05-27 13:11:35.066058
419.96533406845214,161.64503760021026,2022-05-27 13:11:35.083059
418.4238467515472,165.5943370699546,2022-05-27 13:11:35.101283
416.8452216848592,169.52893900010284,2022-05-27 13:11:35.120284
415.229598981298,173.4484941699709,2022-05-27 13:11:35.137291
413.57712203754664,177.35265469436948,2022-05-27 13:11:35.154289
411.8879375213338,181.2410740544808,2022-05-27 13:11:35.173299
410.1621953584164,185.11340712861465,2022-05-27 13:11:35.191291
408.4000487192725,188.96931022283985,2022-05-27 13:11:35.207307
406.60165400550636,192.80844110148934,2022-05-27 13:11:35.225317
404.76717083596736,196.63045901753577,2022-05-27 13:11:35.244317
402.89676203258216,200.43502474283494,2022-05-27 13:11:35.262314
400.9905936059037,204.22180059823435,2022-05-27 13:11:35.279330
399.04883474037644,207.99045048354446,2022-05-27 13:11:35.298327
397.0716577793202,211.74063990736968,2022-05-27 13:11:35.320334
395.059238209634,215.47203601679652,2022-05-27 13:11:35.338344
393.0117546462198,219.18430762693643,2022-05-27 13:11:35.356340
390.92938881613,222.87712525032052,2022-05-27 13:11:35.374345
388.8123255424374,226.55016112614368,2022-05-27 13:11:35.396338
386.6607527278316,230.20308924935537,2022-05-27 13:11:35.413341
384.47486133794087,233.83558539959472,2022-05-27 13:11:35.430362
382.2548453843832,237.44732716996688,2022-05-27 13:11:35.451367
380.00090190754634,241.03799399565904,2022-05-27 13:11:35.469094
377.7132309590992,244.60726718239226,2022-05-27 13:11:35.486093
375.392035584236,248.15482993470766,2022-05-27 13:11:35.504095
373.037521803655,251.68036738408418,2022-05-27 13:11:35.523112
370.6498985952726,255.18356661688492,2022-05-27 13:11:35.540116
368.2293778756752,258.66411670213023,2022-05-27 13:11:35.557111
