x_data,y_data,time
800,-280,2022-07-14 12:17:00.318353
800,-290,2022-07-14 12:17:00.350360
800,-300,2022-07-14 12:17:00.382366
800,-310,2022-07-14 12:17:00.414373
800,-320,2022-07-14 12:17:00.446382
800,-330,2022-07-14 12:17:00.478391
800,-340,2022-07-14 12:17:00.510397
800,-350,2022-07-14 12:17:00.542411
800,-360,2022-07-14 12:17:00.574431
800,-370,2022-07-14 12:17:00.606419
800,-380,2022-07-14 12:17:00.638437
800,-390,2022-07-14 12:17:00.671431
800,-400,2022-07-14 12:17:00.711442
800,-410,2022-07-14 12:17:00.750451
800,-420,2022-07-14 12:17:00.782458
800,-430,2022-07-14 12:17:00.825468
800,-440,2022-07-14 12:17:00.862474
800,-450,2022-07-14 12:17:00.894481
800,-460,2022-07-14 12:17:00.926491
800,-470,2022-07-14 12:17:00.958499
800,-480,2022-07-14 12:17:00.990503
800,-490,2022-07-14 12:17:01.022510
800,-500,2022-07-14 12:17:01.054521
790,-500,2022-07-14 12:17:01.086525
780,-500,2022-07-14 12:17:01.118530
770,-500,2022-07-14 12:17:01.150541
760,-500,2022-07-14 12:17:01.182547
750,-500,2022-07-14 12:17:01.214555
740,-500,2022-07-14 12:17:01.246563
730,-500,2022-07-14 12:17:01.278567
720,-500,2022-07-14 12:17:01.310579
710,-500,2022-07-14 12:17:01.342583
700,-500,2022-07-14 12:17:01.374589
690,-500,2022-07-14 12:17:01.404598
680,-500,2022-07-14 12:17:01.435606
670,-500,2022-07-14 12:17:01.468612
660,-500,2022-07-14 12:17:01.498619
650,-500,2022-07-14 12:17:01.533625
640,-500,2022-07-14 12:17:01.577638
630,-500,2022-07-14 12:17:01.624651
620,-500,2022-07-14 12:17:01.656655
610,-500,2022-07-14 12:17:01.688662
600,-500,2022-07-14 12:17:01.720667
590,-500,2022-07-14 12:17:01.752675
580,-500,2022-07-14 12:17:01.784686
570,-500,2022-07-14 12:17:01.815691
560,-500,2022-07-14 12:17:01.846709
550,-500,2022-07-14 12:17:01.878715
540,-500,2022-07-14 12:17:01.910712
530,-500,2022-07-14 12:17:01.942719
520,-500,2022-07-14 12:17:01.974728
510,-500,2022-07-14 12:17:02.005733
500,-500,2022-07-14 12:17:02.036738
490,-500,2022-07-14 12:17:02.068748
480,-500,2022-07-14 12:17:02.099753
470,-500,2022-07-14 12:17:02.130764
460,-500,2022-07-14 12:17:02.162769
450,-500,2022-07-14 12:17:02.194781
440,-500,2022-07-14 12:17:02.227783
430,-500,2022-07-14 12:17:02.258793
420,-500,2022-07-14 12:17:02.290798
410,-500,2022-07-14 12:17:02.325803
400,-500,2022-07-14 12:17:02.354812
390,-500,2022-07-14 12:17:02.386817
380,-500,2022-07-14 12:17:02.419827
370,-500,2022-07-14 12:17:02.450836
360,-500,2022-07-14 12:17:02.482842
350,-500,2022-07-14 12:17:02.516848
340,-500,2022-07-14 12:17:02.546856
330,-500,2022-07-14 12:17:02.579874
320,-500,2022-07-14 12:17:02.610882
310,-500,2022-07-14 12:17:02.642887
300,-500,2022-07-14 12:17:02.674896
290,-500,2022-07-14 12:17:02.706906
280,-500,2022-07-14 12:17:02.738909
270,-500,2022-07-14 12:17:02.770919
260,-500,2022-07-14 12:17:02.802927
250,-500,2022-07-14 12:17:02.834932
240,-500,2022-07-14 12:17:02.866941
230,-500,2022-07-14 12:17:02.898954
220,-500,2022-07-14 12:17:02.930952
210,-500,2022-07-14 12:17:02.962961
200,-500,2022-07-14 12:17:02.994966
190,-500,2022-07-14 12:17:03.026977
180,-500,2022-07-14 12:17:03.058113
170,-500,2022-07-14 12:17:03.089119
160,-500,2022-07-14 12:17:03.121127
150,-500,2022-07-14 12:17:03.153132
140,-500,2022-07-14 12:17:03.185146
130,-500,2022-07-14 12:17:03.216926
120,-500,2022-07-14 12:17:03.248374
110,-500,2022-07-14 12:17:03.278386
100,-500,2022-07-14 12:17:03.310391
90,-500,2022-07-14 12:17:03.342400
80,-500,2022-07-14 12:17:03.374406
70,-500,2022-07-14 12:17:03.406412
60,-500,2022-07-14 12:17:03.438418
50,-500,2022-07-14 12:17:03.470514
40,-500,2022-07-14 12:17:03.502921
30,-500,2022-07-14 12:17:03.533257
20,-500,2022-07-14 12:17:03.564776
10,-500,2022-07-14 12:17:03.596353
0,-500,2022-07-14 12:17:03.628311
-10,-500,2022-07-14 12:17:03.659631
-20,-500,2022-07-14 12:17:03.691024
-30,-500,2022-07-14 12:17:03.723028
-40,-500,2022-07-14 12:17:03.755037
-50,-500,2022-07-14 12:17:03.787042
-60,-500,2022-07-14 12:17:03.819049
-70,-500,2022-07-14 12:17:03.851058
-80,-500,2022-07-14 12:17:03.883064
-90,-500,2022-07-14 12:17:03.915072
-100,-500,2022-07-14 12:17:03.947078
-110,-500,2022-07-14 12:17:03.979087
-120,-500,2022-07-14 12:17:04.012092
-130,-500,2022-07-14 12:17:04.042097
-140,-500,2022-07-14 12:17:04.073108
-150,-500,2022-07-14 12:17:04.105115
-160,-500,2022-07-14 12:17:04.137121
-170,-500,2022-07-14 12:17:04.169129
-180,-500,2022-07-14 12:17:04.199134
-190,-500,2022-07-14 12:17:04.231142
-200,-500,2022-07-14 12:17:04.263148
-210,-500,2022-07-14 12:17:04.294157
-220,-500,2022-07-14 12:17:04.325166
-230,-500,2022-07-14 12:17:04.357172
-240,-500,2022-07-14 12:17:04.389180
-250,-500,2022-07-14 12:17:04.420188
-260,-500,2022-07-14 12:17:04.451192
-270,-500,2022-07-14 12:17:04.484199
-280,-500,2022-07-14 12:17:04.515206
-290,-500,2022-07-14 12:17:04.547215
-300,-500,2022-07-14 12:17:04.582220
-310,-500,2022-07-14 12:17:04.611231
-320,-500,2022-07-14 12:17:04.647233
-330,-500,2022-07-14 12:17:04.691248
-340,-500,2022-07-14 12:17:04.724254
-350,-500,2022-07-14 12:17:04.755266
-360,-500,2022-07-14 12:17:04.787268
-370,-500,2022-07-14 12:17:04.819276
-380,-500,2022-07-14 12:17:04.851279
-390,-500,2022-07-14 12:17:04.883289
-400,-500,2022-07-14 12:17:04.915298
-410,-500,2022-07-14 12:17:04.947306
-420,-500,2022-07-14 12:17:04.979315
-430,-500,2022-07-14 12:17:05.011318
-440,-500,2022-07-14 12:17:05.043327
-450,-500,2022-07-14 12:17:05.075335
-460,-500,2022-07-14 12:17:05.107339
-470,-500,2022-07-14 12:17:05.139349
-480,-500,2022-07-14 12:17:05.171352
-490,-500,2022-07-14 12:17:05.203362
-500,-500,2022-07-14 12:17:05.233376
-510,-500,2022-07-14 12:17:05.265372
-520,-500,2022-07-14 12:17:05.297383
-530,-500,2022-07-14 12:17:05.329390
-540,-500,2022-07-14 12:17:05.361399
-550,-500,2022-07-14 12:17:05.393405
-560,-500,2022-07-14 12:17:05.425412
-570,-500,2022-07-14 12:17:05.458418
-580,-500,2022-07-14 12:17:05.489428
-590,-500,2022-07-14 12:17:05.521431
-600,-500,2022-07-14 12:17:05.553442
-610,-500,2022-07-14 12:17:05.585447
-620,-500,2022-07-14 12:17:05.617457
-630,-500,2022-07-14 12:17:05.649462
-640,-500,2022-07-14 12:17:05.681472
-650,-500,2022-07-14 12:17:05.713477
-660,-500,2022-07-14 12:17:05.745484
-670,-500,2022-07-14 12:17:05.777491
-680,-500,2022-07-14 12:17:05.809500
-690,-500,2022-07-14 12:17:05.841507
-700,-500,2022-07-14 12:17:05.874512
-710,-500,2022-07-14 12:17:05.905522
-720,-500,2022-07-14 12:17:05.930524
-730,-500,2022-07-14 12:17:05.971535
-740,-500,2022-07-14 12:17:06.002543
-750,-500,2022-07-14 12:17:06.033548
