# x, y, dx, dy, 1st best, 2nd best
240,22,0,0,3,54
342,22,0,0,9,51
414,22,0,0,10,92
462,22,0,0,4,85
420,24,0,0,11,77
908,24,0,0,5,89
960,24,0,0,3,255
282,26,0,0,8,49
536,26,0,0,4,80
148,30,0,0,11,74
578,32,0,0,4,88
450,34,0,0,5,92
534,34,0,0,8,72
582,34,0,0,4,56
620,34,0,0,9,87
540,36,0,0,3,94
664,36,0,0,5,68
224,38,0,0,3,66
400,38,0,0,6,65
684,38,0,0,7,64
696,38,0,0,7,78
798,36,0,2,16,48
820,38,0,0,3,45
178,40,0,0,6,119
270,40,0,0,6,57
658,40,0,0,7,100
312,42,-2,0,15,75
320,42,0,0,6,94
434,42,0,0,7,106
360,44,0,0,4,84
390,44,0,0,5,116
546,42,0,2,16,137
892,44,-2,0,10,19
160,46,0,0,2,44
268,46,0,0,5,48
572,44,0,2,23,56
632,46,0,0,2,89
736,48,0,0,5,53
160,50,0,0,0,42
598,52,0,0,5,105
250,54,0,0,2,65
490,54,0,0,5,115
744,54,0,0,5,64
854,54,0,0,1,45
860,54,0,0,1,45
180,56,0,0,4,82
242,56,0,0,4,63
734,56,0,0,3,64
932,58,0,0,5,38
782,60,0,0,9,53
986,60,0,0,8,61
994,60,2,0,21,74
198,62,0,0,3,53
492,62,0,0,3,113
934,64,0,0,3,44
264,66,0,0,13,72
534,66,0,0,1,90
656,66,0,0,6,90
744,66,0,0,6,78
906,66,0,0,3,45
952,66,0,0,5,22
994,66,0,0,12,113
770,68,0,0,2,63
960,68,0,0,2,21
578,68,-2,2,23,56
248,72,0,0,5,73
468,72,0,0,6,114
476,72,0,0,8,61
486,72,0,0,1,73
666,72,0,0,4,92
688,74,0,0,4,77
158,76,0,0,5,56
172,76,0,0,5,58
600,76,0,0,13,72
724,76,0,0,0,96
216,80,0,0,4,68
320,78,0,2,18,56
734,80,0,0,4,96
818,80,0,0,6,82
386,82,0,0,0,34
380,84,0,2,16,48
440,86,0,0,6,63
960,68,20,18,16,27
158,86,0,2,15,62
214,88,0,0,4,49
692,88,0,0,9,88
886,88,0,0,7,51
178,90,0,0,8,45
366,90,0,0,4,79
988,90,0,0,0,15
526,92,0,0,5,69
612,92,0,0,11,106
554,94,0,0,4,48
894,94,0,0,4,64
404,98,0,0,4,63
424,98,0,0,5,40
602,98,0,0,14,84
568,98,0,2,18,90
732,100,0,0,2,65
812,100,0,0,1,46
896,100,0,0,2,77
186,102,0,0,5,37
398,102,0,0,4,32
816,102,0,0,5,50
916,102,0,0,6,38
992,102,0,0,0,26
248,104,0,0,7,55
424,104,0,0,5,34
514,106,0,0,5,69
710,106,0,0,5,80
850,106,0,0,13,87
996,106,0,0,2,21
494,108,0,0,9,66
532,108,0,0,8,119
342,110,0,0,4,67
572,112,0,0,8,102
196,116,0,0,2,51
230,116,0,0,3,49
458,116,0,0,4,73
614,116,0,0,5,103
938,116,0,0,8,78
642,118,0,0,4,79
686,118,0,0,2,60
354,124,0,0,6,83
798,126,0,0,3,95
842,126,0,0,4,91
944,126,0,0,3,62
1018,126,0,0,5,47
194,130,0,0,4,41
768,130,0,0,1,68
588,130,0,2,18,75
722,132,0,0,12,84
904,132,0,0,3,72
1032,132,0,0,3,46
472,134,0,0,4,76
484,134,0,0,3,71
438,136,0,0,2,37
878,136,0,0,5,60
362,138,0,0,12,53
480,138,0,0,9,72
570,138,0,0,2,71
764,138,0,0,1,72
976,140,0,0,2,61
654,142,0,0,9,72
316,144,0,0,10,98
444,144,0,0,7,36
950,142,0,2,21,47
194,146,0,0,6,43
280,146,0,0,9,85
332,148,0,0,11,64
604,148,0,0,12,104
860,148,0,0,7,73
190,150,0,0,3,44
822,150,0,0,5,66
618,152,0,0,4,77
394,156,0,0,11,76
494,156,0,0,1,78
858,156,0,0,1,60
882,156,0,0,1,62
1034,156,0,0,8,49
176,158,0,0,4,39
1006,158,0,0,6,75
1012,160,0,0,3,18
344,162,0,0,8,48
370,162,0,0,2,47
862,162,0,0,3,41
976,162,0,0,4,50
416,164,0,0,13,53
494,164,0,0,3,69
664,164,0,0,3,100
910,164,0,0,3,48
232,166,0,0,7,85
386,166,0,0,10,81
440,166,0,0,13,115
518,166,0,0,5,26
800,166,0,0,7,79
854,166,0,0,4,36
1044,166,0,0,8,58
792,168,0,0,4,90
922,168,0,0,6,45
288,170,0,0,6,36
298,170,0,0,6,34
202,172,0,0,3,52
294,172,0,0,10,43
592,174,0,0,9,61
892,174,0,0,3,56
946,174,0,0,10,67
182,176,0,0,2,55
232,176,0,0,3,80
288,176,0,0,3,78
630,176,0,0,7,56
1054,176,0,0,4,59
176,178,0,0,7,46
218,180,0,0,7,103
758,180,0,0,2,52
464,186,0,0,5,47
528,186,0,0,2,16
556,186,0,0,4,22
896,188,0,0,6,59
1058,188,0,0,6,101
702,190,0,0,4,44
1066,190,0,0,5,69
214,194,0,0,4,56
604,194,0,0,7,114
706,194,0,0,5,75
770,196,0,-2,18,29
898,194,0,0,1,82
210,198,0,0,4,50
832,198,0,0,2,109
936,200,0,0,3,79
896,202,0,0,5,90
1022,202,0,0,4,131
890,204,0,0,6,99
1038,204,0,0,8,64
314,206,0,0,6,96
418,206,0,0,4,77
474,206,0,2,11,32
772,208,0,0,2,7
242,210,0,0,4,60
392,212,0,0,4,45
162,212,0,2,12,61
614,214,0,0,3,13
1014,214,0,0,3,38
544,218,0,-2,10,27
986,218,0,-2,11,36
1060,216,0,0,2,11
508,218,0,0,3,9
516,218,-2,0,5,9
138,220,0,0,5,76
474,222,0,-2,8,33
550,222,-2,-2,11,23
1062,220,0,0,1,10
314,222,0,0,5,80
428,222,0,0,2,35
482,238,4,-16,8,11
650,224,-10,-2,20,31
168,222,-2,2,20,71
252,224,0,0,1,60
650,224,0,0,5,34
658,224,0,0,1,30
676,246,12,-22,5,7
702,224,0,0,2,4
748,226,0,-2,4,9
818,224,0,0,4,61
920,224,0,0,10,110
330,226,0,0,6,66
764,226,0,0,3,11
170,228,0,0,6,45
312,228,0,0,5,67
532,234,-6,-6,12,16
640,228,-2,0,6,15
1066,228,0,0,3,48
644,230,0,0,2,14
652,230,0,0,1,17
706,242,22,-12,6,10
820,230,0,0,3,29
318,232,0,0,5,80
748,226,-10,6,10,16
774,230,2,2,13,21
380,232,0,2,9,48
770,228,10,6,11,20
918,234,0,0,6,64
1028,236,0,0,5,92
482,238,0,0,0,3
702,224,-20,14,2,4
940,238,0,0,3,105
844,240,-2,0,9,25
924,240,0,0,6,53
260,242,0,0,5,67
372,242,-2,0,17,68
466,240,-2,2,9,31
470,242,0,0,1,19
554,242,0,0,0,25
674,242,0,0,3,5
706,242,0,0,3,6
594,256,8,-10,8,13
838,258,-10,-12,14,26
146,248,0,0,1,24
974,248,0,0,10,84
232,250,0,0,2,22
866,250,0,0,6,20
874,250,0,0,4,17
1008,250,0,0,1,17
1012,250,0,0,1,17
432,252,0,0,3,30
206,254,0,0,4,63
444,254,0,0,6,23
564,254,0,0,2,28
986,254,0,0,7,69
192,256,0,0,0,36
224,256,0,0,0,24
234,256,0,0,1,32
594,256,2,0,6,13
1042,256,0,0,4,140
434,258,0,0,2,8
470,258,0,0,6,8
616,258,0,0,2,14
768,262,-8,-4,12,15
242,260,0,0,2,32
482,238,-8,22,3,4
190,262,0,0,2,36
488,262,-2,0,5,11
540,262,-2,0,14,22
564,262,0,0,2,24
586,262,-2,0,6,24
862,262,2,0,7,11
260,264,0,0,5,42
336,266,-8,-2,16,26
336,266,-2,-2,8,16
432,264,0,0,0,6
592,260,4,4,15,19
654,264,0,0,2,13
762,264,0,0,8,11
954,264,0,0,3,76
834,246,-30,20,20,41
186,268,0,0,2,43
576,268,0,0,2,22
678,268,0,0,5,25
768,262,12,6,12,17
872,268,0,0,2,16
1036,268,0,0,4,66
1066,268,0,0,2,76
210,270,0,0,4,54
218,272,0,0,4,33
386,272,0,0,5,29
920,270,-2,4,14,32
924,274,0,0,3,27
1062,274,0,0,6,76
226,276,0,0,4,66
380,276,0,0,0,18
1028,276,0,0,1,42
374,278,0,0,4,22
1024,278,0,0,3,38
968,280,-2,0,9,32
974,280,0,0,2,29
150,282,0,0,1,22
290,280,0,2,11,47
718,282,-2,0,22,45
932,286,0,0,2,12
722,288,0,0,14,53
882,290,0,0,1,15
924,304,-4,-14,16,29
992,290,0,0,2,35
208,292,0,0,2,36
832,292,0,0,9,68
348,302,0,-8,9,12
356,302,6,-8,10,14
1022,294,-2,0,12,37
124,296,0,0,9,51
610,296,0,0,9,75
1052,296,0,0,0,41
152,298,0,0,3,36
838,298,0,0,4,50
116,300,0,0,5,43
158,300,0,0,2,37
784,308,20,-8,20,39
348,302,0,0,3,5
