# x, y, dx, dy, 1st best, 2nd best
262,22,-2,0,10,76
416,22,-2,0,13,55
342,28,-2,-2,6,84
522,26,-4,0,18,82
652,24,-2,2,20,101
370,28,-2,0,19,69
530,28,-2,0,15,92
600,28,-2,0,14,84
630,28,-4,0,23,109
152,28,-2,2,22,45
342,28,-2,2,4,82
742,32,-2,0,17,71
828,34,-2,-2,15,38
616,34,-2,0,18,81
796,34,-2,0,2,32
342,28,-4,8,23,75
730,36,-2,0,16,84
146,38,-2,0,6,57
806,38,-2,0,7,33
394,40,-2,0,13,65
506,40,-2,0,18,77
878,40,-2,0,12,45
774,42,-2,0,3,37
390,44,-4,0,15,71
940,44,-2,0,18,47
512,46,-2,0,14,72
528,46,-2,0,19,66
312,48,-2,0,4,54
834,48,-2,0,8,43
890,48,-2,0,3,40
560,50,-2,0,10,100
764,50,-2,0,10,103
922,50,-2,0,10,69
326,52,-2,0,10,71
468,52,-2,0,11,58
228,54,-2,0,15,91
578,54,-2,0,10,56
686,54,-2,0,20,82
738,56,-2,0,15,100
272,66,-2,0,21,86
480,66,-2,0,15,96
592,66,-4,0,20,59
750,66,-2,0,6,91
666,68,-2,0,11,53
568,70,-2,0,8,52
672,70,-2,0,17,46
322,72,-2,0,10,70
542,72,-2,0,15,74
718,72,-2,0,12,71
862,72,-2,0,8,41
918,72,-2,0,6,63
376,74,-4,0,21,71
614,74,-2,0,16,104
778,74,-4,0,19,85
504,76,-2,0,23,66
464,78,-2,0,15,97
544,78,-2,0,12,85
742,78,-2,0,9,65
866,78,-4,0,3,40
866,78,4,0,19,32
624,80,-2,0,20,76
342,82,-2,0,13,50
804,84,-4,0,19,79
220,86,-2,0,9,39
968,86,-2,0,19,78
932,88,-2,0,4,52
900,90,-2,0,6,58
978,90,-2,0,16,86
170,92,-2,0,11,75
242,94,-2,0,7,41
172,96,-2,0,15,54
812,96,-2,0,10,85
822,98,-2,0,16,93
954,98,-4,0,10,46
364,100,-4,0,17,113
542,102,-2,-2,12,69
636,100,-2,0,23,75
764,102,-2,0,10,73
160,104,-2,0,10,59
254,104,-4,0,20,59
260,104,-2,2,17,39
322,106,-2,0,15,58
710,106,-2,0,5,69
728,106,-4,0,9,71
570,108,-2,0,23,100
460,110,-2,0,13,75
506,112,-2,-2,16,32
266,110,-2,2,13,31
782,112,-2,0,9,59
862,112,-2,0,8,58
230,114,-2,0,17,80
216,114,-2,2,10,60
330,116,-2,0,10,61
374,114,-2,2,8,17
464,116,-4,0,8,63
506,118,-2,-2,19,25
872,118,-2,0,8,60
882,120,-2,0,8,66
922,124,-2,0,3,28
964,124,-2,0,2,19
164,124,-2,2,14,44
928,126,-2,0,5,30
964,124,-2,4,10,21
210,130,-2,0,7,55
772,130,-2,0,14,61
268,132,-2,0,9,61
452,132,-2,0,15,58
576,132,-2,0,19,74
964,124,-32,8,17,31
358,134,-2,0,5,64
964,124,-4,10,18,25
156,134,-2,2,11,76
494,136,-4,0,23,84
726,136,-2,0,11,78
864,136,-2,0,8,56
408,138,-2,0,13,78
784,138,-4,0,21,104
766,138,-4,2,21,56
494,142,-2,0,7,62
666,142,-2,0,12,130
964,124,20,18,16,21
232,144,-2,0,14,67
344,142,-2,2,17,69
582,142,-2,2,19,89
310,146,-2,0,8,49
326,146,-4,2,23,52
528,148,-2,0,10,70
754,148,-2,0,11,73
990,148,-2,0,6,23
178,150,-2,0,16,44
318,150,-2,0,18,71
526,154,-2,0,12,83
556,154,-2,0,7,71
196,156,-2,0,7,67
1020,158,-2,-2,16,58
298,162,-2,0,10,60
572,162,-2,2,13,77
908,164,-2,0,9,69
380,164,-2,2,4,76
864,166,-2,0,8,45
528,168,-4,0,16,76
884,168,-2,0,18,100
410,170,-4,0,16,58
416,170,-2,0,11,98
644,172,-2,-2,18,66
734,170,-2,0,9,60
198,174,-4,-2,22,38
252,172,-2,0,13,63
598,172,-2,0,12,68
956,174,-2,-2,16,46
522,176,-2,0,14,88
460,180,-2,0,18,86
990,170,2,10,23,41
1036,182,-2,-2,6,51
190,182,-2,0,5,23
612,184,-2,0,17,76
190,186,-2,2,13,27
602,188,-2,0,10,100
344,190,-4,0,11,39
786,190,-2,0,8,82
1000,192,-2,-2,10,49
228,192,-2,0,19,91
348,192,-4,0,13,21
572,192,-2,0,15,59
814,192,-2,0,8,68
916,192,-2,0,8,89
946,192,-2,0,7,59
1050,196,-4,-4,15,48
870,194,-2,0,9,82
906,194,-2,0,10,69
308,198,-2,0,16,101
842,198,-4,0,13,65
866,198,-2,0,5,46
230,200,-2,0,20,88
826,200,-2,0,5,49
216,204,-2,0,13,53
584,202,-2,2,17,59
982,206,-2,-2,19,81
1014,206,-2,-2,13,39
530,206,-2,0,9,47
764,206,-4,0,22,80
1058,208,-2,-2,12,45
484,210,-2,0,4,44
324,212,-2,0,7,36
344,212,-2,0,15,46
1024,214,-2,-2,19,39
388,214,-2,0,18,95
720,214,-2,0,10,89
186,216,-2,0,6,37
776,216,-2,0,12,114
1028,218,-2,0,15,43
552,222,-2,0,16,39
594,222,-2,0,10,55
698,252,-26,-30,21,30
766,222,-2,0,10,70
282,226,-2,0,9,72
876,226,-2,0,9,32
904,226,-2,0,6,75
296,228,-2,0,14,60
328,228,-2,0,12,58
