# x, y, dx, dy, 1st best, 2nd best
328,22,0,0,6,46
944,38,16,-16,14,31
84,24,0,0,7,79
434,26,0,0,3,94
480,26,0,0,9,87
710,26,0,0,8,111
850,26,6,0,8,26
100,28,0,0,7,50
646,28,0,0,6,91
944,38,14,-10,21,30
94,30,0,0,8,58
396,30,0,0,4,73
524,30,0,0,14,123
628,30,0,0,15,99
190,32,0,0,10,46
682,32,0,0,7,71
204,34,0,0,6,40
280,34,0,0,6,73
666,34,0,0,11,45
674,34,0,0,19,63
350,36,0,0,10,65
378,36,0,0,10,59
490,36,0,0,19,77
94,38,0,0,8,74
246,38,0,0,4,82
298,38,0,0,3,65
728,38,0,0,7,110
472,44,0,0,12,129
604,44,0,0,5,42
944,38,4,6,22,35
130,46,0,0,13,88
612,46,0,0,3,46
782,38,2,8,15,20
886,38,-4,10,20,37
828,50,8,0,4,10
980,44,0,6,20,59
100,52,0,0,11,104
324,52,0,0,6,48
392,52,0,0,9,98
604,52,0,0,5,100
630,52,-2,0,11,81
566,54,0,0,12,54
194,56,0,0,12,54
828,50,6,6,3,9
80,58,0,0,6,53
176,58,0,0,3,40
296,58,0,0,3,65
288,62,0,0,6,63
154,64,0,0,3,77
100,66,0,0,10,58
116,68,0,0,9,59
278,68,0,0,2,96
956,70,0,-2,17,51
64,70,0,0,9,71
430,70,0,0,3,49
606,70,0,0,8,51
220,72,0,0,2,75
984,72,8,2,11,25
158,76,0,0,9,50
164,76,0,0,7,35
170,76,0,0,7,41
372,76,0,0,6,39
954,76,0,0,10,38
648,78,0,0,9,35
748,96,16,-18,23,29
208,80,0,0,10,51
506,80,0,0,9,76
636,80,0,0,6,46
350,82,0,0,4,43
514,82,0,0,12,74
982,78,4,4,19,39
1006,82,8,0,16,33
696,86,0,-2,21,42
834,84,4,0,13,19
232,86,0,0,12,66
306,88,0,0,4,58
480,90,0,0,9,75
498,90,0,0,8,70
1052,88,8,2,11,51
138,92,0,0,11,58
752,90,2,4,18,40
806,90,0,4,12,25
140,98,0,0,10,52
670,98,0,0,7,39
378,106,-2,-4,14,37
130,104,0,0,18,86
292,104,0,0,3,61
312,104,0,0,7,64
862,104,4,0,10,54
862,104,8,0,16,66
1046,102,10,2,11,32
1046,102,14,2,16,29
266,106,0,0,4,75
418,108,0,0,6,44
492,108,0,0,5,68
576,108,0,0,7,63
798,106,2,2,14,20
162,110,0,0,7,75
518,112,0,-2,17,103
682,112,0,-2,15,78
222,112,0,0,6,86
414,112,2,0,23,77
494,114,0,0,6,73
702,116,0,-2,23,105
122,116,0,0,9,47
424,116,0,0,6,50
582,120,0,-2,22,69
46,120,0,0,3,58
540,120,0,0,12,86
54,120,0,2,16,61
828,122,6,0,4,18
1008,120,6,2,22,28
234,124,0,0,3,69
204,126,0,0,4,108
226,130,0,0,2,60
828,122,2,8,13,21
970,106,-8,24,23,34
146,132,0,0,8,78
502,132,0,0,11,74
994,130,6,2,21,35
166,134,0,0,4,69
290,134,0,0,7,100
330,134,0,0,7,37
1070,136,8,-2,10,31
264,136,0,0,4,64
444,136,0,0,13,71
842,138,8,-2,5,20
1030,140,14,-4,23,30
72,138,0,0,11,62
608,138,0,0,17,105
938,130,2,8,14,80
66,140,0,0,8,90
486,140,0,0,10,71
934,118,-2,22,19,25
700,142,0,0,10,88
1098,128,-6,14,12,41
472,146,0,-2,21,69
322,146,0,0,7,90
32,152,0,0,7,52
102,152,0,0,10,114
200,152,0,0,11,95
562,152,0,0,5,58
610,152,0,0,7,71
888,152,6,0,7,34
922,144,4,8,15,26
38,154,0,2,15,57
126,158,0,0,12,57
354,158,0,0,12,94
530,158,0,0,10,128
176,160,0,0,1,73
28,160,2,2,12,53
316,162,0,0,10,94
410,162,0,0,7,66
1090,162,-2,0,12,90
260,164,-2,0,19,89
1030,140,-2,24,18,23
54,166,0,0,11,85
96,166,0,0,13,74
188,166,0,0,4,62
704,164,6,2,12,15
628,168,0,0,9,66
140,170,0,0,2,46
490,170,0,0,10,81
588,170,0,0,9,69
1090,162,-6,8,16,88
608,172,0,0,11,103
656,176,0,0,8,84
444,178,0,0,7,65
788,168,4,10,16,28
36,180,0,0,9,47
72,178,2,2,17,52
148,180,0,0,5,65
316,180,0,0,3,62
694,176,0,4,13,18
876,194,12,-14,11,22
478,184,0,0,6,40
876,194,10,-10,15,20
106,186,0,0,6,54
334,186,0,0,2,65
366,186,0,0,4,48
228,188,0,0,2,115
386,190,0,0,9,51
994,208,20,-18,12,35
106,192,-2,0,14,31
224,192,0,0,4,13
40,194,0,0,5,48
110,194,0,0,3,20
218,194,0,0,3,30
408,194,0,0,5,51
952,194,4,0,12,20
516,196,0,0,10,82
74,196,2,2,22,43
342,198,0,0,5,85
136,200,0,0,2,63
230,200,0,0,1,24
224,202,0,0,2,29
362,204,0,0,2,80
408,204,0,0,8,64
632,204,0,0,12,111
234,206,0,0,4,21
54,208,0,0,8,67
442,208,0,0,9,75
886,204,6,4,23,56
678,198,0,12,8,15
936,222,8,-8,20,30
364,216,0,0,2,76
86,218,0,0,8,51
258,218,0,0,5,102
298,218,0,0,2,54
584,216,0,2,14,46
666,218,4,0,10,15
1088,222,8,-2,5,9
186,222,0,0,2,21
348,226,0,0,2,22
450,226,0,0,6,44
252,228,0,0,2,70
878,226,6,2,5,54
96,230,0,0,4,66
1082,238,10,-6,8,16
156,234,0,0,6,55
42,238,0,0,5,37
930,238,6,0,7,37
1082,238,8,0,11,18
156,240,0,0,5,65
558,242,0,-2,4,13
120,242,0,0,1,69
162,242,0,0,6,46
930,238,-24,4,21,37
1082,238,6,4,11,16
282,244,0,0,1,53
298,244,0,0,2,27
42,244,2,2,7,37
822,248,0,-2,17,26
194,246,0,2,23,29
364,248,0,0,0,5
520,250,0,-2,6,18
630,260,20,-12,3,5
822,248,4,0,4,17
934,250,0,-2,19,24
574,276,-4,-26,10,14
624,258,14,-8,7,23
410,280,12,-28,20,26
594,252,0,0,2,10
640,250,2,2,7,9
830,250,8,2,5,16
312,254,0,0,0,19
404,254,0,0,0,7
410,280,0,-26,11,17
504,254,0,0,3,22
636,254,2,2,8,10
1010,254,8,2,15,73
170,258,0,0,4,51
178,260,2,-2,9,52
302,290,16,-32,14,22
860,256,6,2,3,18
380,260,-2,0,7,10
432,272,-28,-12,8,10
582,270,26,-10,4,9
856,258,6,2,2,23
240,262,2,0,9,18
340,262,-2,0,7,15
648,242,-10,20,5,7
1004,260,4,2,21,71
48,262,4,2,7,36
104,264,0,0,1,23
962,266,0,0,6,30
50,268,0,0,4,31
110,268,0,0,4,20
338,270,0,-2,9,18
138,270,-2,0,11,44
274,268,2,2,3,7
426,274,2,-2,5,8
514,276,2,0,3,9
574,276,0,0,1,14
224,278,-2,0,6,17
70,280,2,0,10,25
302,280,0,0,5,14
410,280,0,0,0,11
948,280,12,4,9,14
222,284,-2,2,7,14
236,286,0,0,4,9
1054,286,8,0,8,33
314,292,6,-2,9,12
460,290,0,0,4,11
1054,304,-6,-12,22,39
506,294,0,0,3,14
506,294,16,0,18,25
598,290,6,4,7,13
56,296,2,0,10,38
274,268,4,28,8,12
362,296,-2,0,11,25
418,294,0,2,4,11
1062,300,6,0,2,21
390,304,0,0,4,20
594,298,4,6,9,15
1072,302,6,2,2,25
258,308,0,0,3,11
72,310,2,0,18,41
152,310,0,0,12,98
344,310,0,0,8,32
190,312,0,0,12,53
216,312,0,0,4,13
358,312,0,0,6,16
352,312,0,2,3,15
944,324,0,-10,14,21
102,316,0,0,4,44
1072,302,22,14,7,22
314,292,-2,26,9,18
60,320,0,0,5,38
74,320,2,0,13,43
210,332,4,-12,9,13
556,320,0,0,18,88
944,324,6,-2,7,26
284,326,2,0,18,31
62,330,0,0,8,38
136,330,0,0,7,64
902,324,8,6,6,11
830,330,-8,2,18,38
958,332,10,0,19,53
1092,332,6,0,5,62
60,334,0,0,9,34
98,332,0,2,14,38
172,338,0,-2,8,56
210,332,4,4,11,14
26,338,0,0,4,69
1050,356,6,-16,12,19
92,342,2,0,6,45
826,370,26,-28,18,24
782,350,8,-6,11,20
1084,344,4,0,13,17
174,346,0,0,6,50
362,346,0,0,5,16
398,344,-4,2,9,12
448,348,-2,-2,6,14
106,348,0,0,4,36
386,350,2,-2,4,6
442,350,12,-2,11,15
466,350,-6,-2,8,12
420,354,-2,-4,2,5
792,346,6,4,15,21
488,352,4,0,8,15
454,354,-2,0,2,7
1084,352,6,2,2,18
62,358,2,-2,20,59
94,356,0,0,9,46
322,356,0,0,4,30
992,354,8,2,19,46
420,354,4,4,8,12
432,358,2,0,7,12
500,358,0,0,5,14
678,362,2,-4,12,30
360,360,0,0,1,27
468,358,2,2,11,21
850,384,24,-24,18,33
736,366,-28,-2,6,11
24,354,4,12,13,22
268,342,-16,24,17,47
286,368,0,0,4,35
298,368,0,0,7,45
550,360,4,8,6,15
208,360,6,10,2,5
678,362,6,8,5,21
550,360,0,12,10,15
1098,394,0,-20,15,24
96,376,0,0,12,54
308,376,0,0,13,64
1038,388,20,-10,11,14
136,378,0,2,13,73
642,378,6,2,2,14
698,376,10,4,7,10
858,350,-18,30,13,22
206,368,-6,14,8,11
530,378,4,4,12,15
910,396,-2,-14,12,16
338,386,0,0,2,26
464,388,0,0,4,61
478,388,0,0,3,37
924,380,8,8,16,24
328,390,2,0,6,28
742,376,8,14,12,20
272,392,0,0,12,27
860,390,6,2,8,12
910,396,6,-4,19,29
696,394,-2,4,15,19
804,394,4,4,7,12
310,400,2,0,8,18
706,400,8,2,7,23
384,404,2,0,3,20
634,402,10,2,5,22
186,406,0,0,15,60
208,406,-2,0,17,29
512,406,0,0,3,22
788,400,6,6,1,2
246,408,2,0,13,40
530,394,0,14,8,10
634,402,10,6,13,18
1044,414,10,-6,10,17
208,406,-2,4,18,26
508,410,0,0,4,13
810,418,6,-8,10,15
136,412,0,0,15,52
408,414,0,0,3,51
442,414,0,0,2,51
92,416,0,0,9,76
110,416,0,0,5,26
356,416,20,0,17,26
356,416,26,0,19,26
1064,416,8,0,8,22
266,418,0,0,5,25
726,392,20,26,9,12
228,422,0,0,11,78
30,450,-4,-26,11,187
56,404,6,20,10,13
92,424,2,0,22,61
836,408,12,16,8,29
342,426,0,0,1,11
854,428,18,-2,11,23
1064,416,-2,10,15,26
64,428,0,0,3,6
642,430,0,-2,17,32
42,460,-18,-30,8,16
344,430,2,0,6,10
712,428,-6,2,16,32
836,408,12,22,11,28
854,428,22,2,18,30
120,438,0,-6,22,33
314,438,-12,-6,13,19
458,436,-4,-4,16,41
618,434,4,0,7,14
284,452,4,-16,9,15
512,436,8,2,6,9
700,438,2,0,16,36
790,406,-12,32,17,24
810,418,16,20,14,22
370,440,0,0,3,55
396,440,0,0,5,50
422,440,0,0,1,22
202,438,0,4,8,12
366,442,0,0,4,62
512,436,4,6,3,9
512,436,0,8,7,13
1044,414,20,30,10,13
622,438,2,8,17,24
744,448,8,-2,14,25
190,438,-2,10,16,21
310,448,0,0,1,31
478,448,0,0,3,32
744,448,-2,2,12,25
744,448,4,2,3,24
776,448,6,2,12,25
284,452,0,2,5,21
810,444,0,10,14,130
132,468,-4,-12,9,20
304,456,0,0,7,31
454,456,0,0,1,40
602,456,8,0,9,15
446,458,0,0,2,49
624,458,6,2,9,39
186,462,0,0,5,19
496,458,6,4,11,15
902,462,0,0,9,57
442,464,0,0,4,54
472,466,0,-2,22,43
948,464,4,0,14,30
132,468,-2,0,5,14
186,468,0,0,9,13
350,468,0,0,0,29
802,466,8,2,12,118
1008,466,-32,2,14,18
986,466,8,2,16,26
196,468,0,2,0,16
296,468,0,2,14,24
1028,460,4,12,16,28
866,464,2,10,9,15
230,476,-2,2,8,30
370,478,0,0,1,20
378,482,12,-4,14,27
1060,448,-16,30,17,32
1004,480,0,0,17,44
378,482,2,0,4,24
396,484,4,-2,19,42
230,476,0,8,18,31
324,488,2,0,4,30
966,488,0,0,5,35
82,502,-4,-12,22,78
120,490,0,0,8,15
222,492,0,0,4,26
300,492,0,0,0,9
310,502,2,-10,14,18
598,490,2,2,13,46
186,490,0,4,9,22
144,496,0,0,13,117
476,498,8,-2,10,13
224,498,0,0,4,21
426,500,0,-2,6,14
82,502,0,0,5,10
582,498,8,4,14,46
228,502,2,2,11,18
278,508,4,-4,3,6
278,508,0,-2,5,7
444,526,20,-20,3,5
124,510,0,-2,7,16
432,508,2,0,6,20
184,512,0,0,3,7
950,512,8,0,13,28
1078,512,6,0,12,19
250,514,-2,0,5,9
250,514,2,0,4,10
444,526,10,-12,7,9
1066,514,6,0,20,35
126,514,2,2,8,17
222,516,0,0,5,18
276,516,0,0,1,3
312,516,0,0,3,15
342,530,-16,-14,3,9
312,516,22,0,6,13
468,516,6,0,6,9
614,516,4,2,18,27
698,522,8,-4,21,33
372,520,6,0,8,12
444,526,2,-6,8,11
34,524,0,0,1,24
36,492,30,32,15,59
372,520,2,4,13,21
614,516,30,8,21,69
82,502,10,24,9,12
444,526,2,0,2,4
922,528,4,0,15,31
290,532,-2,0,2,4
36,534,0,0,0,25
130,536,2,0,6,19
1042,536,4,2,10,13
1042,536,8,2,6,19
576,540,8,2,10,24
